grid,id,month
7680.0+2977.205699j,12,aug
7410.0+3187.775742j,12,aug
7410.0+3368.241776j,12,aug
7410.0+2727.305834j,12,aug
8385.0+2785.115072j,12,aug
7545.0+2691.802037j,12,aug
7590.0+3307.035074j,12,aug
7395.0+2813.399352j,12,aug
7365.0+2876.673911j,12,aug
7245.0+3339.338483j,12,aug
8205.0+3112.307754j,12,aug
7395.0+3358.570255j,12,aug
7290.0+2916.725231j,12,aug
7110.0+2957.218941j,12,aug
7095.0+2809.402693j,12,aug
8565.0+3945.503929j,12,aug
41370.0+19565.005078j,12,aug
42975.0+19979.576423j,12,aug
43425.0+15488.708504j,12,aug
43335.0+19760.632385j,12,aug
43320.0+18623.862418j,12,aug
43215.0+18510.772582j,12,aug
43155.0+19222.553834j,12,aug
43365.0+17314.71735j,12,aug
26400.0+9106.210966j,12,aug
12270.0+5917.172292j,12,aug
18450.0+7840.223136j,12,aug
21900.0+10022.646966j,12,aug
22590.0+9127.364581j,12,aug
23190.0+10706.848822j,12,aug
23370.0+9238.12615j,12,aug
23280.0+10300.087555j,12,aug
23340.0+8260.803249j,12,aug
20325.0+8421.832457j,12,aug
7020.0+2659.03325j,12,aug
7215.0+2631.307547j,12,aug
7200.0+2531.873645j,12,aug
6570.0+2465.80336j,12,aug
6780.0+2240.96467j,12,aug
10185.0+4908.936563j,12,aug
8745.0+3156.461011j,12,aug
6615.0+2793.217939j,12,aug
6630.0+3052.215204j,12,aug
6450.0+2417.780923j,12,aug
6450.0+2400.590296j,12,aug
6885.0+2796.263805j,12,aug
25320.0+12240.621049j,12,aug
42705.0+17468.156162j,12,aug
44115.0+20974.572765j,12,aug
47640.0+19106.361062j,12,aug
48735.0+22093.507794j,12,aug
49665.0+18712.729365j,12,aug
48735.0+20182.74112j,12,aug
48705.0+23583.943473j,12,aug
49680.0+23359.962944j,12,aug
48705.0+17300.963866j,12,aug
48870.0+23653.186124j,12,aug
49905.0+22341.903977j,12,aug
48690.0+21948.891915j,12,aug
48585.0+16910.371959j,12,aug
48510.0+23478.374283j,12,aug
48570.0+22836.682105j,12,aug
48720.0+19452.087799j,12,aug
48855.0+16160.942671j,12,aug
48660.0+20691.340449j,12,aug
43680.0+17078.068349j,12,aug
44475.0+20838.828727j,12,aug
27480.0+11880.98331j,12,aug
15225.0+6793.464188j,12,aug
8880.0+3718.597513j,12,aug
7740.0+3146.032466j,12,aug
7725.0+3100.373229j,12,aug
7710.0+3539.026861j,12,aug
7695.0+3631.214088j,12,aug
7785.0+2604.920234j,12,aug
7770.0+2919.17044j,12,aug
7560.0+3558.261276j,12,aug
9720.0+3511.905347j,12,aug
8850.0+3876.77027j,12,aug
9960.0+3938.480212j,12,aug
8490.0+3804.46868j,12,aug
8535.0+3808.843415j,12,aug
8460.0+3535.508595j,12,aug
8475.0+3014.643188j,12,aug
9390.0+3403.447907j,12,aug
8385.0+3256.326046j,12,aug
8850.0+3939.244359j,12,aug
9630.0+3373.292942j,12,aug
8460.0+3269.880438j,12,aug
8430.0+3341.666313j,12,aug
8490.0+3536.820241j,12,aug
8370.0+3180.107946j,12,aug
9105.0+3701.472932j,12,aug
8760.0+3498.939654j,12,aug
8850.0+4205.971491j,12,aug
8880.0+3892.626107j,12,aug
9330.0+3715.433945j,12,aug
9015.0+3435.883036j,12,aug
8865.0+4272.607201j,12,aug
8820.0+3770.829893j,12,aug
8775.0+3752.792719j,12,aug
8985.0+3456.737211j,12,aug
29010.0+12654.262439j,12,aug
48540.0+18881.674223j,12,aug
48855.0+19267.370667j,12,aug
46590.0+18573.864301j,12,aug
42915.0+15900.714072j,12,aug
42825.0+19543.907528j,12,aug
42840.0+14706.065799j,12,aug
42870.0+19986.124157j,12,aug
26205.0+9719.694991j,12,aug
11265.0+3788.026528j,12,aug
7035.0+3339.674038j,12,aug
7695.0+2555.438541j,12,aug
8940.0+3448.81888j,12,aug
7830.0+2851.441717j,12,aug
7995.0+3630.920964j,12,aug
9090.0+4371.840494j,12,aug
8190.0+3624.739892j,12,aug
8205.0+3526.028586j,12,aug
9075.0+3322.970206j,12,aug
8085.0+2708.166685j,12,aug
8145.0+2861.792538j,12,aug
8145.0+3313.146447j,12,aug
8130.0+2732.384135j,12,aug
8055.0+2790.852901j,12,aug
9045.0+3309.351701j,12,aug
8025.0+3130.796392j,12,aug
8040.0+3446.723328j,12,aug
9120.0+4146.057709j,12,aug
8295.0+3017.159678j,12,aug
8205.0+3349.140955j,12,aug
9060.0+4310.337325j,12,aug
26115.0+8808.863696j,12,aug
42960.0+14542.222997j,12,aug
45915.0+21377.9191j,12,aug
46590.0+15851.060098j,12,aug
46110.0+18740.892679j,12,aug
43410.0+15496.967811j,12,aug
43365.0+20372.517084j,12,aug
43290.0+14418.619919j,12,aug
27270.0+10643.739642j,12,aug
12435.0+4505.568156j,12,aug
8220.0+3542.014993j,12,aug
8235.0+2921.873041j,12,aug
8145.0+2702.486671j,12,aug
8280.0+3167.814837j,12,aug
9330.0+3072.546629j,12,aug
8250.0+3148.244141j,12,aug
8265.0+3233.932157j,12,aug
9600.0+3299.1076j,12,aug
22215.0+9796.935219j,12,aug
23160.0+7758.51982j,12,aug
23655.0+10518.65756j,12,aug
23955.0+11371.579856j,12,aug
24135.0+9836.454885j,12,aug
11970.0+5632.792806j,12,aug
8190.0+3535.397155j,12,aug
8100.0+3743.711408j,12,aug
8130.0+3862.692116j,12,aug
8145.0+2936.292381j,12,aug
8745.0+3522.918613j,12,aug
8595.0+3611.142249j,12,aug
8205.0+2861.858625j,12,aug
8790.0+4057.156038j,12,aug
8565.0+3526.378543j,12,aug
25785.0+8827.397027j,12,aug
43080.0+16197.843215j,12,aug
43275.0+17682.88522j,12,aug
43080.0+19185.292687j,12,aug
43770.0+18503.603734j,12,aug
43620.0+19289.757549j,12,aug
42960.0+17106.776206j,12,aug
42300.0+19862.774171j,12,aug
25935.0+10847.100077j,12,aug
11430.0+5285.060609j,12,aug
7125.0+2996.630699j,12,aug
7170.0+3152.424797j,12,aug
7140.0+3014.005204j,12,aug
7635.0+2509.829581j,12,aug
7605.0+3151.232993j,12,aug
7875.0+3603.780501j,12,aug
8325.0+3644.635489j,12,aug
8325.0+2808.940819j,12,aug
8370.0+3154.6325j,12,aug
8325.0+3020.573614j,12,aug
8085.0+3285.680815j,12,aug
8250.0+3796.207486j,12,aug
8205.0+3711.569524j,12,aug
8175.0+3894.227894j,12,aug
8220.0+3137.138536j,12,aug
8220.0+3951.920367j,12,aug
8235.0+3219.375605j,12,aug
8235.0+3874.670585j,12,aug
8820.0+4005.054055j,12,aug
8520.0+3002.428846j,12,aug
8145.0+3791.99348j,12,aug
8625.0+3878.699497j,12,aug
10095.0+4480.494021j,12,aug
41250.0+18193.580868j,12,aug
43380.0+20101.467726j,12,aug
43935.0+19630.677261j,12,aug
43635.0+15749.689205j,12,aug
44145.0+18084.266398j,12,aug
48195.0+21544.735679j,12,aug
46560.0+18101.534036j,12,aug
17775.0+6239.707503j,12,aug
16740.0+6371.4247j,12,aug
14745.0+6446.742897j,12,aug
15195.0+6251.751001j,12,aug
15165.0+5187.866829j,12,aug
14760.0+4873.03797j,12,aug
15255.0+7039.755653j,12,aug
15225.0+7367.453552j,12,aug
14730.0+6643.205083j,12,aug
14760.0+6961.516214j,12,aug
14730.0+6479.705799j,12,aug
14730.0+5135.531432j,12,aug
14700.0+4965.826432j,12,aug
14640.0+6048.791166j,12,aug
