grid,id,month
3780.0+1818.174611j,3,june
4125.0+1918.868411j,3,june
3840.0+1514.315763j,3,june
3765.0+1739.364673j,3,june
3765.0+1317.533637j,3,june
3765.0+1261.653172j,3,june
3750.0+1613.19084j,3,june
3945.0+1570.049852j,3,june
3780.0+1427.6211j,3,june
4110.0+1711.177358j,3,june
5010.0+1950.051888j,3,june
6450.0+2168.18572j,3,june
6105.0+2864.683417j,3,june
6075.0+2387.29083j,3,june
6060.0+2759.352612j,3,june
6030.0+2705.454333j,3,june
6135.0+2595.561091j,3,june
6240.0+2515.468908j,3,june
5940.0+2348.205187j,3,june
6060.0+2272.73069j,3,june
6120.0+2690.847699j,3,june
5880.0+2570.304608j,3,june
5865.0+2451.037722j,3,june
5865.0+2321.682948j,3,june
5910.0+2010.6522j,3,june
5955.0+2779.121718j,3,june
5820.0+2764.88415j,3,june
5850.0+2100.824645j,3,june
6105.0+2683.89679j,3,june
6135.0+2696.699028j,3,june
6000.0+2603.506514j,3,june
5940.0+2636.606837j,3,june
5970.0+1981.872707j,3,june
5865.0+1955.236179j,3,june
5550.0+1846.690376j,3,june
4920.0+2357.822743j,3,june
48120.0+21590.368736j,3,june
61185.0+25095.938628j,3,june
61335.0+29414.614298j,3,june
61230.0+26049.326721j,3,june
60870.0+28358.420771j,3,june
60705.0+21090.311269j,3,june
60645.0+23521.125405j,3,june
60735.0+28091.229043j,3,june
60735.0+28139.365249j,3,june
60645.0+27930.959918j,3,june
60795.0+28733.224438j,3,june
60645.0+27467.669921j,3,june
60555.0+24818.683922j,3,june
60840.0+21362.334133j,3,june
60705.0+21248.893597j,3,june
28110.0+11228.566341j,3,june
17835.0+7126.515819j,3,june
7440.0+2538.956684j,3,june
3780.0+1363.882487j,3,june
4155.0+1996.312844j,3,june
3855.0+1709.059408j,3,june
3855.0+1786.354092j,3,june
3855.0+1383.994972j,3,june
3840.0+1420.617422j,3,june
5715.0+2104.756612j,3,june
6555.0+2791.308942j,3,june
6105.0+2193.796716j,3,june
6075.0+2573.40828j,3,june
6060.0+2848.630677j,3,june
5955.0+2283.052653j,3,june
5880.0+2185.85524j,3,june
6315.0+2659.211676j,3,june
6465.0+2931.620644j,3,june
6180.0+2374.24171j,3,june
6270.0+2714.462168j,3,june
6285.0+2813.14563j,3,june
6285.0+2456.18129j,3,june
5925.0+2287.681231j,3,june
5940.0+2458.296515j,3,june
5820.0+2473.733511j,3,june
5775.0+2041.989094j,3,june
5760.0+2671.273089j,3,june
5760.0+2210.928076j,3,june
6045.0+2814.433492j,3,june
5895.0+2799.475504j,3,june
5535.0+2525.961558j,3,june
5520.0+2392.522686j,3,june
5520.0+2355.230188j,3,june
5520.0+2373.398724j,3,june
4815.0+2082.24883j,3,june
4170.0+1905.674702j,3,june
3900.0+1447.368667j,3,june
4125.0+1762.069262j,3,june
4290.0+1758.479176j,3,june
3930.0+1798.409033j,3,june
3765.0+1329.431948j,3,june
3765.0+1673.091243j,3,june
3765.0+1430.256769j,3,june
3750.0+1385.384079j,3,june
3750.0+1278.345217j,3,june
3765.0+1738.91145j,3,june
3735.0+1773.281115j,3,june
3840.0+1469.500231j,3,june
4155.0+1944.404543j,3,june
3915.0+1454.732138j,3,june
3735.0+1659.808098j,3,june
3735.0+1333.999644j,3,june
3750.0+1552.425535j,3,june
46605.0+21405.172052j,3,june
60330.0+20103.299642j,3,june
60570.0+23426.388185j,3,june
60540.0+23723.113738j,3,june
60825.0+26870.221493j,3,june
60615.0+25252.540045j,3,june
60375.0+28759.049089j,3,june
61740.0+20426.785861j,3,june
62655.0+26524.506711j,3,june
62595.0+20980.758764j,3,june
62565.0+22851.231906j,3,june
62580.0+23933.160028j,3,june
62520.0+29489.783229j,3,june
62445.0+25697.425022j,3,june
62430.0+24568.071979j,3,june
62430.0+27027.559643j,3,june
29940.0+13895.155764j,3,june
19695.0+7051.104915j,3,june
9510.0+3378.913896j,3,june
5820.0+2269.036464j,3,june
5820.0+2800.385622j,3,june
5880.0+2387.68343j,3,june
6225.0+2065.408471j,3,june
5745.0+2123.749362j,3,june
5970.0+2480.739221j,3,june
6075.0+2153.914472j,3,june
6105.0+2855.009972j,3,june
5940.0+2523.203839j,3,june
5940.0+2232.798263j,3,june
5505.0+1851.770984j,3,june
5505.0+2368.248374j,3,june
5505.0+2174.166633j,3,june
5505.0+1973.160892j,3,june
4395.0+2027.320782j,3,june
4290.0+2029.861399j,3,june
4035.0+1816.333516j,3,june
4320.0+1733.891239j,3,june
4260.0+1719.183576j,3,june
4215.0+1899.6017j,3,june
4065.0+1541.570265j,3,june
3930.0+1702.875907j,3,june
4020.0+1607.213498j,3,june
3750.0+1750.618818j,3,june
3750.0+1531.444843j,3,june
3750.0+1303.140262j,3,june
3720.0+1785.265919j,3,june
3720.0+1348.486064j,3,june
3855.0+1698.16757j,3,june
3810.0+1727.871308j,3,june
3720.0+1447.797898j,3,june
4080.0+1532.66963j,3,june
3855.0+1363.908881j,3,june
3735.0+1430.473176j,3,june
4185.0+1850.018477j,3,june
4305.0+1837.282079j,3,june
3990.0+1675.542882j,3,june
3870.0+1577.269429j,3,june
4125.0+1878.6034j,3,june
3960.0+1310.799275j,3,june
4185.0+1486.525841j,3,june
6210.0+2716.60715j,3,june
6165.0+2499.273518j,3,june
6120.0+2286.876309j,3,june
6045.0+2797.550834j,3,june
6420.0+2496.414889j,3,june
6015.0+2699.393496j,3,june
7620.0+3057.791422j,3,june
8625.0+3660.739853j,3,june
8895.0+3760.838798j,3,june
6915.0+2501.380722j,3,june
6330.0+2752.692993j,3,june
5850.0+1925.102046j,3,june
5820.0+2747.833652j,3,june
5910.0+2773.349764j,3,june
6165.0+2671.039292j,3,june
5835.0+2621.305883j,3,june
5820.0+2530.205944j,3,june
5835.0+2720.337408j,3,june
6360.0+3032.901065j,3,june
6000.0+2858.461978j,3,june
5820.0+2343.270841j,3,june
5820.0+2179.738093j,3,june
6165.0+2631.43348j,3,june
55845.0+18589.297268j,3,june
62970.0+22834.557233j,3,june
62925.0+28378.422779j,3,june
62910.0+24230.506137j,3,june
61530.0+22791.714753j,3,june
60885.0+25112.811916j,3,june
60750.0+22133.096296j,3,june
60750.0+26184.780423j,3,june
60465.0+27344.63095j,3,june
60405.0+27203.197036j,3,june
60390.0+22296.576557j,3,june
60435.0+21677.743849j,3,june
60435.0+29038.629825j,3,june
60735.0+25208.602987j,3,june
60630.0+20970.945566j,3,june
60510.0+24418.632557j,3,june
63300.0+26069.67689j,3,june
62805.0+23056.765556j,3,june
62865.0+27324.509756j,3,june
63000.0+28823.035053j,3,june
25830.0+9272.943148j,3,june
20040.0+6649.359265j,3,june
8430.0+3608.607354j,3,june
6030.0+2910.742588j,3,june
6015.0+2481.232486j,3,june
6120.0+2072.865339j,3,june
6480.0+2546.35374j,3,june
6255.0+2594.650447j,3,june
6240.0+2067.964432j,3,june
5955.0+2864.376731j,3,june
6060.0+2861.648095j,3,june
6045.0+2043.300659j,3,june
6270.0+2931.844415j,3,june
6225.0+2472.002357j,3,june
6030.0+2335.372055j,3,june
5910.0+1975.599555j,3,june
5925.0+2309.538231j,3,june
5910.0+2601.947427j,3,june
5670.0+2250.750379j,3,june
5655.0+1904.684572j,3,june
5640.0+2116.828771j,3,june
5790.0+2409.96096j,3,june
5910.0+2544.321026j,3,june
5610.0+2615.886455j,3,june
5730.0+2196.746941j,3,june
5730.0+2326.695414j,3,june
5730.0+2024.389043j,3,june
6030.0+2867.444395j,3,june
5850.0+2268.525782j,3,june
