grid,id,month
61785.0+21065.360233j,14,june
61830.0+21790.40226j,14,june
61755.0+24555.42771j,14,june
61740.0+26002.582609j,14,june
32175.0+11242.534855j,14,june
18480.0+7733.591539j,14,june
7530.0+2571.413671j,14,june
7320.0+2974.33025j,14,june
7245.0+2665.684789j,14,june
7260.0+3052.391846j,14,june
7275.0+3219.456222j,14,june
7275.0+3085.067591j,14,june
7275.0+3350.102796j,14,june
7230.0+3328.954632j,14,june
7110.0+2616.790454j,14,june
7080.0+2729.135308j,14,june
50160.0+18130.036133j,14,june
63120.0+22088.474715j,14,june
62985.0+26316.713268j,14,june
62985.0+27687.975849j,14,june
63000.0+30196.444961j,14,june
63195.0+28482.279061j,14,june
63090.0+26748.018187j,14,june
63375.0+26082.866809j,14,june
46200.0+20457.516248j,14,june
21420.0+9442.756455j,14,june
8160.0+2971.628674j,14,june
6825.0+2598.2723j,14,june
6585.0+3056.248269j,14,june
5250.0+2477.386575j,14,june
5250.0+2063.831218j,14,june
5175.0+2206.926288j,14,june
5115.0+2303.162802j,14,june
5130.0+2009.57581j,14,june
5205.0+2326.668244j,14,june
5175.0+1743.783804j,14,june
5175.0+2177.406796j,14,june
28950.0+13561.060094j,14,june
61140.0+20129.275525j,14,june
61065.0+28002.777975j,14,june
60960.0+21852.663776j,14,june
60900.0+26390.512694j,14,june
60945.0+23804.469396j,14,june
61020.0+22790.849177j,14,june
61020.0+25483.59648j,14,june
41355.0+17963.694818j,14,june
19545.0+7596.546182j,14,june
5475.0+2371.602174j,14,june
5175.0+2288.494387j,14,june
5145.0+2188.56272j,14,june
5025.0+2390.775997j,14,june
5040.0+2435.302373j,14,june
5025.0+1742.499107j,14,june
5025.0+2421.64708j,14,june
5025.0+2199.691061j,14,june
5010.0+2300.190626j,14,june
5865.0+2771.932379j,14,june
7530.0+3066.414653j,14,june
7365.0+2939.196256j,14,june
7200.0+3369.013541j,14,june
50160.0+19452.75892j,14,june
62850.0+28891.834926j,14,june
62865.0+21752.662049j,14,june
62955.0+23063.512066j,14,june
62970.0+27870.206772j,14,june
63000.0+23302.194866j,14,june
62970.0+23088.41502j,14,june
62910.0+28827.268778j,14,june
24930.0+11387.02255j,14,june
15600.0+5536.457146j,14,june
7170.0+3456.608046j,14,june
7125.0+2721.65452j,14,june
7125.0+3226.186523j,14,june
7185.0+2841.042053j,14,june
7230.0+3175.464493j,14,june
7125.0+3300.979242j,14,june
7245.0+3010.095676j,14,june
7200.0+3029.935727j,14,june
7050.0+2848.953152j,14,june
7035.0+3145.18789j,14,june
7050.0+3401.599228j,14,june
5745.0+2562.542226j,14,june
5490.0+2218.968431j,14,june
47715.0+17266.702346j,14,june
60915.0+23776.250876j,14,june
60915.0+20104.261128j,14,june
60900.0+28824.225105j,14,june
60990.0+28173.432721j,14,june
61005.0+20547.058444j,14,june
60960.0+29451.009615j,14,june
30090.0+12588.426136j,14,june
16185.0+7478.390606j,14,june
5445.0+1928.435415j,14,june
5340.0+2412.469878j,14,june
5325.0+1909.733491j,14,june
5325.0+2450.045177j,14,june
5355.0+2222.203489j,14,june
5355.0+2436.65274j,14,june
5310.0+2393.071788j,14,june
5310.0+1873.888744j,14,june
5430.0+2290.610988j,14,june
5610.0+2197.407191j,14,june
5400.0+2039.950302j,14,june
5325.0+2328.306452j,14,june
5310.0+1819.237823j,14,june
5280.0+2307.989431j,14,june
28905.0+10319.652001j,14,june
60555.0+28616.452721j,14,june
60825.0+29012.037041j,14,june
63195.0+24644.437729j,14,june
62955.0+25607.981051j,14,june
62940.0+24125.280651j,14,june
62775.0+28754.315683j,14,june
52440.0+25160.961283j,14,june
21690.0+10085.86163j,14,june
10935.0+4418.402153j,14,june
7140.0+2441.797426j,14,june
7050.0+2942.660278j,14,june
6870.0+3293.52293j,14,june
6825.0+2820.553472j,14,june
11415.0+3885.650957j,14,june
11550.0+5347.211656j,14,june
11295.0+4972.770879j,14,june
11250.0+4483.304865j,14,june
11310.0+4877.318362j,14,june
11250.0+4004.358925j,14,june
11220.0+3795.885337j,14,june
11220.0+4578.617606j,14,june
11220.0+5395.764626j,14,june
11265.0+5044.408235j,14,june
34935.0+11778.161845j,14,june
66840.0+31369.168798j,14,june
66630.0+28166.525428j,14,june
66675.0+22717.977984j,14,june
66630.0+26429.347419j,14,june
66810.0+29540.721633j,14,june
66915.0+32200.341901j,14,june
42945.0+19160.948238j,14,june
24555.0+11082.386473j,14,june
11475.0+4257.836719j,14,june
10065.0+4190.679343j,14,june
7395.0+3072.413097j,14,june
7260.0+2849.342981j,14,june
7350.0+3151.974527j,14,june
7290.0+2895.333766j,14,june
5025.0+2396.700374j,14,june
4980.0+1878.941842j,14,june
5025.0+2215.280986j,14,june
4965.0+1727.165969j,14,june
4965.0+2178.434796j,14,june
5010.0+1780.477485j,14,june
5160.0+2430.841454j,14,june
4965.0+2303.320741j,14,june
4995.0+2176.752918j,14,june
47340.0+18944.369j,14,june
60315.0+22730.851944j,14,june
60405.0+27579.858162j,14,june
63600.0+22613.504565j,14,june
63165.0+29751.647659j,14,june
63075.0+22613.919631j,14,june
63150.0+30329.933669j,14,june
32595.0+14499.535947j,14,june
18480.0+7022.536683j,14,june
7500.0+2829.079392j,14,june
7425.0+2937.375582j,14,june
7455.0+2926.162229j,14,june
