# file...... multi_voltageB.csv
# date...... Sat Sep 11 00:03:26 2021
# user...... megan
# host...... (null)
# group..... class=meter
# property.. measured_voltage_B
# limit..... 0
# interval.. 60
# timestamp,Node633,Node632,Node650,Node680,Node684,Node2335,Node661,Node1642,Node3456,Node2361,Node3039,Node2818,Node3538,Node4031,Node4373,Node4767,Node7951,Node8156,Node8386,Node8565,Node9019,Node9160,Node9278,Node9922,Node5746,Node6139,Node7536,Node7719,Node7800,Node7901
2018-01-01 00:00:00 CST,-1179.79-2085.84j,-1180.61-2085.58j,-1200.89-2080j,-1163.82-2090.23j,-1164.22-2090.15j,-1179.79-2085.84j,-1176.69-2086.78j,-1176.13-2086.95j,-1164.23-2090.16j,-1165.79-2089.69j,-1165.61-2090.54j,-1165.79-2089.69j,-1162.75-2090.58j,-1160.63-2091.13j,-1161.18-2091.04j,-1161.42-2090.95j,-1160.04-2091.27j,-1160.22-2091.24j,-1160.07-2091.28j,-1160.86-2091.12j,-1160.85-2091.12j,-1161.34-2090.97j,-1160.93-2091.06j,-1161.01-2091.08j,-1162.73-2090.5j,-1162.54-2090.6j,-1163.23-2090.41j,-1175.16-2087.16j,-1175.53-2087.09j,-1175.57-2087.14j
2018-01-01 00:01:00 CST,-1180.16-2085.88j,-1180.94-2085.67j,-1200.89-2080j,-1164.5-2090.32j,-1164.93-2090.28j,-1180.16-2085.88j,-1176.95-2086.98j,-1176.38-2087.16j,-1164.94-2090.28j,-1166.46-2089.79j,-1166.26-2090.64j,-1166.46-2089.79j,-1163.45-2090.76j,-1161.52-2091.26j,-1161.87-2091.28j,-1161.86-2091.24j,-1160.93-2091.42j,-1161.11-2091.37j,-1160.93-2091.39j,-1161.55-2091.36j,-1161.54-2091.39j,-1161.77-2091.27j,-1161.12-2091.49j,-1161.45-2091.36j,-1163.42-2090.6j,-1163.22-2090.72j,-1163.92-2090.45j,-1175.5-2087.39j,-1175.71-2087.38j,-1175.72-2087.34j
2018-01-01 00:02:00 CST,-1179.92-2085.88j,-1180.69-2085.67j,-1200.89-2080j,-1163.97-2090.49j,-1164.33-2090.35j,-1179.92-2085.88j,-1176.74-2086.93j,-1176.17-2087.1j,-1164.33-2090.35j,-1165.92-2089.88j,-1165.79-2090.76j,-1165.92-2089.88j,-1162.76-2090.81j,-1160.71-2091.39j,-1160.86-2091.29j,-1161.29-2091.23j,-1160.11-2091.51j,-1160.12-2091.59j,-1160.17-2091.54j,-1160.2-2091.49j,-1160.54-2091.37j,-1161.18-2091.26j,-1160.68-2091.4j,-1160.87-2091.37j,-1162.87-2090.84j,-1162.72-2090.88j,-1163.38-2090.65j,-1175.3-2087.38j,-1175.5-2087.28j,-1175.54-2087.24j
2018-01-01 00:03:00 CST,-1175.14-2087.16j,-1175.91-2087j,-1200.89-2080j,-1154.49-2093.13j,-1153.85-2093.4j,-1175.14-2087.16j,-1171.9-2088.26j,-1171.31-2088.45j,-1153.86-2093.4j,-1156.41-2092.59j,-1156.2-2093.43j,-1156.41-2092.59j,-1151.33-2094.21j,-1146.02-2095.63j,-1149.57-2094.74j,-1149.28-2094.9j,-1142.63-2096.45j,-1145.11-2095.95j,-1145.38-2095.8j,-1149.04-2094.92j,-1149.22-2094.82j,-1149.2-2094.93j,-1148.09-2095.33j,-1148.87-2095.04j,-1153.42-2093.38j,-1153.25-2093.53j,-1153.89-2093.3j,-1170.38-2088.69j,-1170.64-2088.65j,-1170.66-2088.65j
2018-01-01 00:04:00 CST,-1156.62-2095.47j,-1157.39-2095.3j,-1200.89-2080j,-1117.47-2109.55j,-1113.13-2111.44j,-1156.62-2095.47j,-1153.41-2096.74j,-1152.83-2096.95j,-1113.13-2111.44j,-1119.35-2108.97j,-1119.16-2109.84j,-1119.35-2108.97j,-1106.94-2113.9j,-1098.62-2117.08j,-1105.07-2114.55j,-1093.96-2118.69j,-1092.29-2119.56j,-1097.67-2117.38j,-1097.94-2117.33j,-1104.5-2114.75j,-1104.7-2114.65j,-1093.87-2118.72j,-1081.87-2123.14j,-1093.52-2118.86j,-1116.51-2109.85j,-1116.21-2109.95j,-1116.87-2109.74j,-1151.93-2097.21j,-1152.15-2097.15j,-1152.22-2097.13j
2018-01-01 00:05:00 CST,-1161-2092.75j,-1161.78-2092.56j,-1200.89-2080j,-1126.33-2104.15j,-1122.94-2105.37j,-1161-2092.75j,-1157.74-2093.96j,-1157.1-2094.19j,-1122.94-2105.37j,-1128.2-2103.51j,-1128.01-2104.36j,-1128.2-2103.51j,-1117.71-2107.21j,-1109.58-2109.61j,-1115.97-2107.82j,-1108.1-2110.64j,-1103.41-2111.3j,-1108.64-2109.91j,-1108.92-2109.87j,-1115.5-2107.99j,-1115.6-2107.95j,-1108.02-2110.66j,-1099.39-2113.74j,-1107.67-2110.8j,-1125.4-2104.5j,-1125.06-2104.61j,-1125.74-2104.3j,-1156.15-2094.53j,-1156.42-2094.36j,-1156.47-2094.41j
2018-01-01 00:06:00 CST,-1169.88-2089.72j,-1170.65-2089.48j,-1200.89-2080j,-1143.74-2098.08j,-1141.87-2098.78j,-1169.88-2089.72j,-1166.93-2090.71j,-1166.36-2090.9j,-1141.88-2098.78j,-1145.58-2097.48j,-1145.39-2098.33j,-1145.58-2097.48j,-1138.2-2100.07j,-1129.54-2103.15j,-1136.56-2100.57j,-1134.98-2100.89j,-1123.29-2105.54j,-1128.21-2103.52j,-1128.94-2103.36j,-1136.12-2100.71j,-1136.2-2100.67j,-1134.89-2100.91j,-1132.64-2101.45j,-1134.56-2101j,-1142.84-2098.34j,-1142.48-2098.5j,-1143.15-2098.28j,-1165.42-2091.22j,-1165.68-2091.08j,-1165.97-2091.02j
2018-01-01 00:07:00 CST,-1168.41-2089.75j,-1169.18-2089.58j,-1200.89-2080j,-1140.77-2098.29j,-1138.55-2099.19j,-1168.41-2089.75j,-1165.51-2090.76j,-1164.94-2090.95j,-1138.55-2099.19j,-1142.57-2097.81j,-1142.41-2098.67j,-1142.57-2097.81j,-1134.58-2100.54j,-1125.25-2103.73j,-1132.89-2101.06j,-1131.02-2101.46j,-1119.04-2105.89j,-1123.46-2104.32j,-1124.64-2103.95j,-1132.38-2101.25j,-1132.52-2101.19j,-1130.93-2101.49j,-1128.48-2102.08j,-1130.6-2101.58j,-1139.87-2098.58j,-1139.54-2098.58j,-1140.18-2098.42j,-1164.03-2091.25j,-1164.27-2091.09j,-1164.56-2091.05j
2018-01-01 00:08:00 CST,-1167.55-2089.84j,-1168.39-2089.64j,-1200.89-2080j,-1139.26-2098.35j,-1136.93-2099.2j,-1167.55-2089.84j,-1164.7-2090.88j,-1164.14-2091.07j,-1136.94-2099.21j,-1141.09-2097.85j,-1140.97-2098.75j,-1141.09-2097.85j,-1132.87-2100.52j,-1123.59-2103.43j,-1131.19-2101j,-1128.87-2101.62j,-1117.4-2105.25j,-1121.8-2104.07j,-1123.01-2103.59j,-1130.69-2101.13j,-1130.84-2101.12j,-1128.79-2101.65j,-1126.23-2102.29j,-1128.45-2101.75j,-1138.32-2098.58j,-1138.04-2098.71j,-1138.67-2098.51j,-1163.18-2091.27j,-1163.46-2091.3j,-1163.82-2091.17j
2018-01-01 00:09:00 CST,-1164.86-2091.02j,-1165.68-2090.76j,-1200.89-2080j,-1133.76-2100.67j,-1131.36-2101.62j,-1164.86-2091.02j,-1162.09-2091.84j,-1161.55-2092j,-1131.37-2101.63j,-1135.55-2100.18j,-1135.08-2102.67j,-1135.55-2100.18j,-1127.27-2103.05j,-1117.9-2106.29j,-1125.61-2103.57j,-1123.3-2104.12j,-1111.63-2108.44j,-1116.13-2106.95j,-1117.31-2106.47j,-1125.1-2103.74j,-1125.28-2103.69j,-1123.22-2104.14j,-1120.6-2104.84j,-1122.88-2104.24j,-1132.79-2100.91j,-1132.63-2100.98j,-1133.17-2100.85j,-1160.64-2092.2j,-1160.87-2092.17j,-1161.23-2092.11j
2018-01-01 00:10:00 CST,-1164.5-2091.36j,-1165.24-2091.13j,-1200.89-2080j,-1132.73-2101.44j,-1130.34-2102.36j,-1164.5-2091.36j,-1161.68-2092.26j,-1161.13-2092.43j,-1130.35-2102.37j,-1134.53-2100.89j,-1133.97-2103.68j,-1134.53-2100.89j,-1126.25-2103.8j,-1117.04-2107.08j,-1124.61-2104.27j,-1122.28-2104.9j,-1110.75-2109.33j,-1115.41-2107.72j,-1116.47-2107.27j,-1124.12-2104.4j,-1124.28-2104.36j,-1122.19-2104.93j,-1119.56-2105.57j,-1121.86-2105.03j,-1131.69-2101.81j,-1131.65-2101.71j,-1132.15-2101.6j,-1160.25-2092.65j,-1160.45-2092.6j,-1160.81-2092.53j
2018-01-01 00:11:00 CST,-1166.39-2090.35j,-1166.64-2090.3j,-1200.89-2080j,-1134.7-2100.05j,-1132.47-2100.83j,-1166.39-2090.35j,-1163.21-2091.43j,-1162.69-2091.59j,-1132.49-2100.84j,-1136.54-2099.46j,-1135.86-2102.16j,-1136.54-2099.46j,-1128.5-2102.16j,-1119.43-2104.97j,-1126.97-2102.56j,-1124.77-2103.45j,-1113.19-2106.92j,-1117.89-2105.44j,-1118.84-2105.11j,-1126.59-2102.66j,-1126.65-2102.67j,-1124.68-2103.48j,-1122.01-2104.44j,-1124.35-2103.59j,-1133.61-2100.43j,-1133.61-2100.34j,-1134.11-2100.26j,-1161.75-2091.88j,-1162.01-2091.77j,-1162.37-2091.67j
2018-01-01 00:12:00 CST,-1166.4-2089.93j,-1166.65-2089.87j,-1200.89-2080j,-1134.95-2099.19j,-1132.76-2099.99j,-1166.4-2089.93j,-1163.01-2090.94j,-1162.45-2091.1j,-1132.77-2099.99j,-1136.78-2098.67j,-1136.17-2101.42j,-1136.78-2098.67j,-1128.84-2101.27j,-1119.78-2104j,-1127.27-2101.74j,-1125.31-2102.32j,-1113.55-2105.85j,-1118.23-2104.5j,-1119.19-2104.16j,-1126.89-2101.88j,-1126.95-2101.82j,-1125.22-2102.35j,-1122.57-2103.08j,-1124.89-2102.46j,-1133.87-2099.52j,-1133.86-2099.48j,-1134.36-2099.33j,-1161.58-2091.33j,-1161.77-2091.27j,-1161.84-2091.23j
2018-01-01 00:13:00 CST,-1169.19-2089.87j,-1169.44-2089.81j,-1200.89-2080j,-1140.54-2098.97j,-1138.9-2099.58j,-1169.19-2089.87j,-1165.82-2091.01j,-1165.27-2091.2j,-1138.91-2099.58j,-1142.36-2098.38j,-1141.86-2101.2j,-1142.36-2098.38j,-1135.52-2100.74j,-1128.73-2102.94j,-1133.84-2101.15j,-1131.98-2102.01j,-1124.65-2104.17j,-1127.18-2103.51j,-1128.17-2103.13j,-1133.53-2101.22j,-1133.52-2101.23j,-1131.9-2102.03j,-1129.22-2103.05j,-1131.56-2102.12j,-1139.5-2099.28j,-1139.44-2099.35j,-1139.95-2099.15j,-1164.39-2091.46j,-1164.58-2091.43j,-1164.67-2091.34j
2018-01-01 00:14:00 CST,-1171.95-2088.21j,-1172.21-2088.12j,-1200.89-2080j,-1147.12-2095.09j,-1146.37-2095.39j,-1171.95-2088.21j,-1167.68-2089.71j,-1166.94-2089.96j,-1146.38-2095.4j,-1148.91-2094.62j,-1148.24-2097.87j,-1148.91-2094.62j,-1143.93-2096.14j,-1140.67-2097.09j,-1142.16-2096.64j,-1140.44-2097.15j,-1139.9-2097.34j,-1139.14-2097.49j,-1140.09-2097.25j,-1141.85-2096.75j,-1141.84-2096.73j,-1140.35-2097.17j,-1137.72-2097.91j,-1140.02-2097.3j,-1146.12-2095.36j,-1146.03-2095.38j,-1146.55-2095.23j,-1165.33-2090.5j,-1166.27-2090.11j,-1166.33-2090.1j
2018-01-01 00:15:00 CST,-1174.8-2087.26j,-1175.05-2087.2j,-1200.89-2080j,-1153.07-2093.4j,-1152.29-2093.64j,-1174.8-2087.26j,-1170.31-2088.73j,-1169.53-2088.97j,-1152.3-2093.65j,-1154.8-2092.88j,-1154.47-2094.38j,-1154.8-2092.88j,-1149.86-2094.37j,-1146.63-2095.27j,-1148.1-2094.9j,-1146.41-2095.23j,-1145.85-2095.52j,-1145.12-2095.7j,-1146.07-2095.4j,-1147.79-2095j,-1147.78-2094.99j,-1146.32-2095.25j,-1143.72-2095.84j,-1145.99-2095.37j,-1152.08-2093.75j,-1151.96-2093.67j,-1152.56-2093.57j,-1167.98-2089.4j,-1168.85-2089.17j,-1168.92-2089.13j
2018-01-01 00:16:00 CST,-1176.42-2086.8j,-1176.67-2086.73j,-1200.89-2080j,-1156.36-2092.44j,-1155.6-2092.72j,-1176.42-2086.8j,-1171.94-2088.18j,-1171.16-2088.42j,-1155.6-2092.72j,-1158.02-2091.98j,-1157.88-2092.88j,-1158.02-2091.98j,-1153.23-2093.44j,-1150.03-2094.31j,-1151.48-2093.86j,-1149.9-2094.43j,-1149.24-2094.58j,-1148.54-2094.7j,-1149.46-2094.44j,-1151.17-2093.97j,-1151.16-2093.93j,-1149.82-2094.46j,-1147.35-2095.2j,-1149.49-2094.54j,-1155.41-2092.7j,-1155.25-2092.76j,-1155.94-2092.55j,-1169.62-2088.8j,-1170.49-2088.61j,-1170.54-2088.63j
2018-01-01 00:17:00 CST,-1176.27-2086.64j,-1176.51-2086.56j,-1200.89-2080j,-1156.27-2092.1j,-1155.61-2092.3j,-1176.27-2086.64j,-1171.54-2088.05j,-1170.72-2088.29j,-1155.61-2092.3j,-1157.99-2091.6j,-1157.78-2092.47j,-1157.99-2091.6j,-1153.27-2092.98j,-1150.1-2093.84j,-1151.52-2093.47j,-1149.99-2093.76j,-1149.31-2094.11j,-1148.6-2094.18j,-1149.55-2094j,-1151.21-2093.54j,-1151.2-2093.58j,-1149.91-2093.78j,-1147.49-2094.33j,-1149.58-2093.85j,-1155.21-2092.46j,-1155.17-2092.36j,-1155.84-2092.23j,-1169.11-2088.7j,-1170.05-2088.44j,-1169.96-2088.47j
