# file...... multi_voltageC.csv
# date...... Wed Sep 15 15:27:07 2021
# user...... megan
# host...... (null)
# group..... class=meter
# property.. measured_voltage_C
# limit..... 0
# interval.. 60
# timestamp,Meter2,Meter1,Meter5,Meter3,Meter4,1_2_3,4_5_6,7_8_9,13_14_15,10_11_12,22_23_24,19_20_21,16_17_18
2018-01-01 00:15:00 CST,-1182.76+2084.63j,-1182.79+2084.92j,-1200.89+2080j,-1168.56+2089.86j,-1168+2089.68j,-1180.39+2083.87j,-1181.25+2083.37j,-1180.31+2082.3j,-1167.46+2088.24j,-1168.56+2089.86j,-1168.39+2089.64j,-1168.57+2089.86j,-1167.92+2089.54j
2018-01-01 00:16:00 CST,-1182.53+2081.96j,-1182.58+2082.3j,-1200.89+2080j,-1168.38+2086.2j,-1167.79+2086.08j,-1180.19+2080.88j,-1181.03+2080.45j,-1180.04+2079.42j,-1167.25+2084.64j,-1168.38+2086.2j,-1168.2+2085.99j,-1168.38+2086.2j,-1167.71+2085.99j
2018-01-01 00:17:00 CST,-1183.26+2082.71j,-1183.29+2083.03j,-1200.89+2080j,-1169.33+2087.27j,-1168.78+2087.11j,-1180.93+2081.79j,-1181.81+2081.37j,-1180.78+2080.4j,-1168.24+2085.67j,-1169.33+2087.27j,-1169.16+2087.04j,-1169.34+2087.27j,-1168.73+2086.96j
2018-01-01 00:18:00 CST,-1183.54+2082.26j,-1183.46+2082.83j,-1200.89+2080j,-1169.5+2086.03j,-1168.97+2085.74j,-1181+2081.08j,-1181.87+2081.71j,-1180.78+2080.78j,-1168.42+2084.28j,-1169.5+2086.03j,-1169.32+2085.81j,-1169.5+2086.03j,-1168.92+2085.57j
2018-01-01 00:19:00 CST,-1182.18+2080.25j,-1182.34+2080.74j,-1200.89+2080j,-1168.54+2083.21j,-1168.08+2082.88j,-1179.05+2078.92j,-1180.74+2079.01j,-1179.69+2077.88j,-1167.64+2081.36j,-1168.54+2083.21j,-1168.34+2083.02j,-1168.54+2083.21j,-1168.07+2082.71j
2018-01-01 00:20:00 CST,-1183.34+2079.9j,-1183.41+2080.48j,-1200.89+2080j,-1170.23+2083.48j,-1169.78+2083.14j,-1180.22+2078.82j,-1181.84+2078.63j,-1180.76+2077.53j,-1169.31+2081.65j,-1170.23+2083.48j,-1170.04+2083.28j,-1170.23+2083.48j,-1169.8+2082.92j
2018-01-01 00:21:00 CST,-1182.82+2080.57j,-1182.95+2081.17j,-1200.89+2080j,-1169.46+2084.97j,-1168.99+2084.76j,-1179.71+2079.55j,-1181.41+2079.29j,-1180.36+2078.18j,-1168.54+2083.37j,-1169.46+2084.97j,-1169.27+2084.77j,-1169.46+2084.97j,-1168.97+2084.6j
2018-01-01 00:22:00 CST,-1183.72+2081.64j,-1183.74+2082.24j,-1200.89+2080j,-1170.98+2086.64j,-1170.72+2086.56j,-1181.22+2080.53j,-1182.05+2080.57j,-1180.96+2079.53j,-1170.4+2085.55j,-1170.98+2086.64j,-1170.78+2086.44j,-1170.98+2086.63j,-1170.68+2086.4j
2018-01-01 00:23:00 CST,-1184.83+2083.06j,-1184.81+2083.64j,-1200.89+2080j,-1173.56+2089.02j,-1173.25+2089j,-1182.49+2082.02j,-1182.97+2082j,-1181.9+2080.92j,-1172.92+2088.04j,-1173.56+2089.02j,-1173.37+2088.83j,-1173.56+2089.02j,-1173.2+2088.85j
2018-01-01 00:24:00 CST,-1181.83+2083.7j,-1181.82+2084.24j,-1200.89+2080j,-1168.6+2089.99j,-1168.27+2090.03j,-1179.5+2082.9j,-1179.63+2082.43j,-1178.55+2081.43j,-1167.87+2089.13j,-1168.6+2089.99j,-1168.38+2089.82j,-1168.6+2089.99j,-1168.18+2089.94j
2018-01-01 00:25:00 CST,-1182.35+2083.86j,-1182.33+2084.39j,-1200.89+2080j,-1169.6+2090.16j,-1169.25+2090.14j,-1180.02+2083j,-1180.1+2082.62j,-1179.02+2081.67j,-1168.93+2089.16j,-1169.6+2090.16j,-1169.39+2089.98j,-1169.61+2090.16j,-1169.13+2090.03j
2018-01-01 00:26:00 CST,-1183.95+2084.34j,-1183.94+2084.86j,-1200.89+2080j,-1172.77+2090.48j,-1172.44+2090.46j,-1181.62+2083.37j,-1181.66+2083.33j,-1180.57+2082.51j,-1172.09+2089.52j,-1172.77+2090.48j,-1172.56+2090.31j,-1172.77+2090.48j,-1172.34+2090.32j
2018-01-01 00:27:00 CST,-1186.57+2087.54j,-1186.43+2087.32j,-1200.89+2080j,-1176.69+2092.7j,-1176.33+2092.7j,-1184.24+2086.65j,-1184.46+2085.83j,-1183.57+2084.99j,-1175.96+2091.78j,-1176.69+2092.7j,-1176.49+2092.52j,-1176.69+2092.7j,-1176.2+2092.55j
2018-01-01 00:28:00 CST,-1185.26+2086.86j,-1185.27+2086.76j,-1200.89+2080j,-1173.89+2091.72j,-1173.56+2091.66j,-1182.92+2086.03j,-1183.54+2085.61j,-1182.77+2084.95j,-1173.22+2090.7j,-1173.89+2091.72j,-1173.68+2091.54j,-1173.89+2091.72j,-1173.44+2091.44j
2018-01-01 00:29:00 CST,-1184.98+2084.17j,-1185.06+2084.36j,-1200.89+2080j,-1173.62+2088.7j,-1173.32+2088.69j,-1182.64+2083.19j,-1183.49+2082.93j,-1182.77+2082.2j,-1173+2087.84j,-1173.62+2088.7j,-1173.36+2088.5j,-1173.62+2088.7j,-1173.21+2088.49j
2018-01-01 00:30:00 CST,-1185.36+2085.29j,-1185.47+2085.46j,-1200.89+2080j,-1174.35+2090.5j,-1174.04+2090.51j,-1182.64+2084.39j,-1183.9+2084.14j,-1183.14+2083.49j,-1173.71+2089.7j,-1174.35+2090.5j,-1174.18+2090.31j,-1174.35+2090.5j,-1173.91+2090.29j
2018-01-01 00:31:00 CST,-1185.25+2084.92j,-1185.47+2085.23j,-1200.89+2080j,-1174.6+2090.75j,-1174.25+2090.81j,-1182.09+2083.71j,-1183.99+2083.81j,-1183.25+2083.09j,-1173.96+2089.96j,-1174.6+2090.75j,-1174.39+2090.58j,-1174.6+2090.75j,-1174.14+2090.61j
2018-01-01 00:32:00 CST,-1188.01+2084.74j,-1188.21+2085.14j,-1200.89+2080j,-1180.17+2090.86j,-1179.9+2090.9j,-1184.86+2083.34j,-1186.61+2083.82j,-1185.83+2083.09j,-1179.56+2090.1j,-1180.17+2090.86j,-1179.93+2090.71j,-1180.17+2090.86j,-1179.79+2090.68j
2018-01-01 00:33:00 CST,-1185+2083.86j,-1185.2+2084.23j,-1200.89+2080j,-1173.36+2089.37j,-1173.01+2089.48j,-1181.87+2082.6j,-1183.97+2082.89j,-1183.24+2082.06j,-1172.71+2088.63j,-1173.36+2089.37j,-1173.13+2089.17j,-1173.36+2089.37j,-1172.88+2089.31j
2018-01-01 00:34:00 CST,-1185.19+2082.58j,-1185.41+2082.97j,-1200.89+2080j,-1173.33+2086.86j,-1173.06+2086.89j,-1182.04+2081.43j,-1184.29+2081.76j,-1183.6+2080.91j,-1172.78+2086.03j,-1173.33+2086.86j,-1173.14+2086.65j,-1173.33+2086.86j,-1172.95+2086.68j
2018-01-01 00:35:00 CST,-1182.47+2083.21j,-1182.67+2083.65j,-1200.89+2080j,-1168.21+2088.09j,-1167.9+2088.15j,-1179.31+2081.77j,-1181.42+2082.52j,-1180.72+2081.62j,-1167.55+2087.36j,-1168.21+2088.09j,-1168.03+2087.86j,-1168.21+2088.09j,-1167.77+2087.95j
