# file...... multi_voltageA.csv
# date...... Sat Sep 11 00:02:56 2021
# user...... megan
# host...... (null)
# group..... class=meter
# property.. measured_voltage_A
# limit..... 0
# interval.. 60
# timestamp,Node633,Node632,Node650,Node680,Node684,Node2335,Node661,Node1642,Node3456,Node2361,Node3039,Node2818,Node3538,Node4031,Node4373,Node4767,Node7951,Node8156,Node8386,Node8565,Node9019,Node9160,Node9278,Node9922,Node5746,Node6139,Node7536,Node7719,Node7800,Node7901
2018-01-01 00:10:00 CST,+2463.75-20.0346i,+2462.3-19.7104i,+2401.78+0i,+2517.6-38.24i,+2520.5-39.6227i,+2463.75-20.0346i,+2469.07-21.4744i,+2470.11-21.7404i,+2520.49-39.6258i,+2514.55-37.1722i,+2514.59-41.1055i,+2514.55-37.1722i,+2526.32-42.0284i,+2544.93-47.526i,+2529.62-42.9928i,+2534.28-43.8634i,+2557.66-51.3037i,+2548.21-48.547i,+2546.09-47.8887i,+2530.6-43.2898i,+2530.28-43.1851i,+2534.45-43.9048i,+2539.74-45.0403i,+2535.13-44.1177i,+2519.67-38.8917i,+2519.77-38.8836i,+2518.75-38.5075i,+2471.85-22.0701i,+2471.45-21.9725i,+2470.74-21.9219i
2018-01-01 00:11:00 CST,+2460.89-20.6464i,+2460.39-20.5235i,+2401.78+0i,+2515.11-39.7025i,+2517.82-41.4658i,+2460.89-20.6464i,+2466.97-22.5493i,+2467.97-22.849i,+2517.81-41.4683i,+2512-38.8348i,+2511.94-42.8073i,+2512-38.8348i,+2523.5-44.043i,+2542.14-50.3767i,+2526.59-44.8535i,+2531.04-46.1603i,+2555-54.9608i,+2545.29-51.3866i,+2543.35-50.7856i,+2527.37-45.043i,+2527.25-45.0553i,+2531.21-46.2196i,+2536.61-47.8089i,+2531.89-46.3759i,+2517.26-40.1812i,+2517.28-40.2101i,+2516.27-39.9253i,+2469.84-23.3597i,+2469.31-23.1224i,+2468.59-23.0143i
2018-01-01 00:12:00 CST,+2460.6-19.0165i,+2460.11-18.8834i,+2401.78+0i,+2514.19-36.7446i,+2516.8-38.036i,+2460.6-19.0165i,+2467.05-20.7492i,+2468.12-21.0442i,+2516.79-38.039i,+2511.08-35.6971i,+2511.08-39.6427i,+2511.08-35.6971i,+2522.4-40.3288i,+2540.84-45.8671i,+2525.52-41.0003i,+2529.5-42.1133i,+2553.55-49.8655i,+2543.97-46.7327i,+2542.03-46.1857i,+2526.28-41.1851i,+2526.17-41.1414i,+2529.67-42.1638i,+2535.01-43.4003i,+2530.35-42.3965i,+2516.34-37.3086i,+2516.37-37.3289i,+2515.37-37.1177i,+2469.83-21.3617i,+2469.48-21.3944i,+2469.34-21.3287i
2018-01-01 00:13:00 CST,+2455.19-16.3224i,+2454.7-16.2246i,+2401.78+0i,+2503.38-31.2926i,+2505.21-32.1502i,+2455.19-16.3224i,+2461.59-18.1832i,+2462.65-18.5054i,+2505.19-32.1531i,+2500.33-30.3299i,+2500.27-34.2738i,+2500.33-30.3299i,+2509.95-33.9232i,+2523.48-37.2212i,+2513.34-34.8642i,+2516.95-35.4698i,+2531.64-39.1151i,+2526.57-37.9545i,+2524.62-37.5757i,+2513.96-35.0199i,+2513.99-35.0209i,+2517.12-35.5166i,+2522.4-36.6439i,+2517.78-35.6398i,+2505.43-31.6808i,+2505.57-31.9859i,+2504.54-31.5909i,+2464.37-18.9098i,+2464-18.8771i,+2463.84-18.8272i
2018-01-01 00:14:00 CST,+2450.74-15.4471i,+2450.24-15.3488i,+2401.78+0i,+2492.77-29.4508i,+2493.33-29.809i,+2450.74-15.4471i,+2458.8-17.4433i,+2460.19-17.7632i,+2493.32-29.8114i,+2489.75-28.4299i,+2489.54-33.1322i,+2489.75-28.4299i,+2496.78-31.1378i,+2503.33-32.9339i,+2500.33-32.1418i,+2503.71-32.5395i,+2504.87-33.4037i,+2506.39-33.7736i,+2504.47-33.2273i,+2500.94-32.2638i,+2500.98-32.3412i,+2503.88-32.5789i,+2509.1-33.574i,+2504.54-32.7i,+2494.77-29.949i,+2494.98-30.1223i,+2493.93-29.7645i,+2463.34-18.3584i,+2461.52-17.9909i,+2461.4-17.9608i
2018-01-01 00:15:00 CST,+2445.73-13.089i,+2445.24-12.9674i,+2401.78+0i,+2482.27-24.3222i,+2482.91-24.9i,+2445.73-13.089i,+2454.21-15.1637i,+2455.68-15.5126i,+2482.9-24.9022i,+2479.38-23.5381i,+2479.33-25.6832i,+2479.38-23.5381i,+2486.33-26.2117i,+2492.78-27.7942i,+2489.82-27.036i,+2493.25-27.9892i,+2494.31-28.1113i,+2495.77-28.4937i,+2493.9-28.1184i,+2490.44-27.2232i,+2490.46-27.1889i,+2493.42-28.034i,+2498.65-29.4149i,+2494.07-28.1297i,+2484.21-24.7616i,+2484.44-24.7178i,+2483.27-24.5717i,+2458.72-16.0541i,+2457.02-15.8262i,+2456.86-15.7042i
2018-01-01 00:16:00 CST,+2442.91-11.9629i,+2442.44-11.8839i,+2401.78+0i,+2476.58-22.228i,+2477.21-22.6672i,+2442.91-11.9629i,+2451.4-14.1304i,+2452.87-14.4939i,+2477.2-22.6691i,+2473.8-21.3722i,+2473.83-22.5921i,+2473.8-21.3722i,+2480.53-23.9289i,+2486.91-25.5462i,+2484-24.6603i,+2487.16-25.6886i,+2488.46-25.9033i,+2489.88-26.3303i,+2488.05-25.8579i,+2484.6-24.7685i,+2484.64-24.8239i,+2487.33-25.7211i,+2492.27-27.1115i,+2487.98-25.8339i,+2478.45-22.5758i,+2478.8-22.8853i,+2477.43-22.4425i,+2455.91-15.0765i,+2454.19-14.6875i,+2454.08-14.7669i
2018-01-01 00:17:00 CST,+2443.11-11.4428i,+2442.62-11.3145i,+2401.78+0i,+2476.55-20.6923i,+2477.02-21.0926i,+2443.11-11.4428i,+2452.07-13.8154i,+2453.64-14.244i,+2477.02-21.0944i,+2473.68-19.9227i,+2473.72-21.1464i,+2473.68-19.9227i,+2480.29-22.2416i,+2486.57-23.5762i,+2483.78-23.1723i,+2486.8-23.5693i,+2488.1-23.9039i,+2489.55-24.2091i,+2487.65-23.7764i,+2484.39-23.3071i,+2484.42-23.3432i,+2486.97-23.6187i,+2491.76-24.5985i,+2487.61-23.7071i,+2478.62-21.1521i,+2478.69-21.0535i,+2477.4-20.9329i,+2456.84-15.0398i,+2454.97-14.4847i,+2455.15-14.6122i
2018-01-01 00:18:00 CST,+2445.61-12.3278i,+2445.09-12.2318i,+2401.78+0i,+2480.57-22.6347i,+2481.02-22.978i,+2445.61-12.3278i,+2455.45-14.7629i,+2457.04-15.1589i,+2481.02-22.9794i,+2477.69-21.7553i,+2477.77-23.7507i,+2477.69-21.7553i,+2484.29-24.1756i,+2490.47-25.5378i,+2487.78-25.0671i,+2491.29-25.8317i,+2492.03-25.9801i,+2493.46-26.044i,+2491.62-25.8384i,+2488.39-25.1871i,+2488.42-25.2323i,+2491.46-25.8669i,+2496.28-27.0375i,+2492.11-25.9828i,+2482.61-23.0941i,+2482.8-23.2874i,+2481.39-22.7739i,+2459.96-15.6812i,+2458.41-15.4922i,+2458.85-15.5046i
2018-01-01 00:19:00 CST,+2445.07-11.4724i,+2444.44-11.3835i,+2401.78+0i,+2480.08-21.1471i,+2480.25-21.5154i,+2445.07-11.4724i,+2454.16-13.6557i,+2455.74-14.0359i,+2480.25-21.517i,+2476.88-20.3185i,+2476.92-21.7704i,+2476.88-20.3185i,+2483.55-22.6907i,+2489.52-24.1175i,+2487.01-23.4398i,+2490.97-24.3468i,+2491.09-24.5611i,+2492.49-24.8434i,+2490.63-24.3044i,+2487.63-23.6203i,+2487.65-23.6317i,+2491.14-24.3924i,+2495.86-25.3466i,+2491.8-24.5427i,+2482.44-21.5469i,+2482.48-21.6218i,+2480.98-21.4044i,+2458.74-14.6777i,+2457.05-14.2475i,+2457.56-14.3028i
