grid,id,month
50550.0+24474.852892j,10,sept
50520.0+16711.605757j,10,sept
50565.0+23552.220208j,10,sept
50550.0+18734.69705j,10,sept
50535.0+24390.629111j,10,sept
50520.0+22910.27026j,10,sept
50520.0+22778.812724j,10,sept
50460.0+19440.811496j,10,sept
50490.0+17669.729371j,10,sept
50610.0+20983.414164j,10,sept
50625.0+19327.48298j,10,sept
50595.0+16962.784065j,10,sept
50535.0+19590.092955j,10,sept
50565.0+23575.364081j,10,sept
50535.0+19296.989966j,10,sept
50580.0+17666.380531j,10,sept
50700.0+24151.538932j,10,sept
51090.0+19848.937158j,10,sept
51525.0+21251.597025j,10,sept
51735.0+19044.503916j,10,sept
51750.0+22623.334341j,10,sept
51705.0+22854.06679j,10,sept
51735.0+21266.702652j,10,sept
51795.0+24549.470475j,10,sept
51795.0+23328.334844j,10,sept
51750.0+22595.454551j,10,sept
51810.0+17993.722548j,10,sept
51795.0+18055.946026j,10,sept
51825.0+20598.356214j,10,sept
51915.0+21173.192739j,10,sept
52005.0+21812.111987j,10,sept
52020.0+22488.442922j,10,sept
52095.0+21262.019456j,10,sept
52080.0+20844.174656j,10,sept
52005.0+19073.622065j,10,sept
51915.0+23513.046017j,10,sept
51975.0+20787.325154j,10,sept
51960.0+18934.661227j,10,sept
51810.0+23135.765339j,10,sept
51795.0+18093.215245j,10,sept
51750.0+22259.170974j,10,sept
51450.0+20475.221181j,10,sept
51390.0+24340.887341j,10,sept
51480.0+21412.767884j,10,sept
51465.0+23052.622187j,10,sept
51465.0+21403.14355j,10,sept
51465.0+17950.420765j,10,sept
51375.0+21572.857692j,10,sept
51090.0+19681.975495j,10,sept
49965.0+24004.123799j,10,sept
49995.0+17049.758991j,10,sept
49935.0+18530.279233j,10,sept
49995.0+20602.595351j,10,sept
50040.0+20112.116533j,10,sept
50085.0+16578.847822j,10,sept
50130.0+21857.056606j,10,sept
50085.0+21479.662197j,10,sept
49995.0+19306.39615j,10,sept
49875.0+21575.754659j,10,sept
49845.0+20464.180213j,10,sept
49800.0+21173.136195j,10,sept
49800.0+17056.926378j,10,sept
49815.0+17603.997298j,10,sept
49770.0+18032.367997j,10,sept
49845.0+21445.702695j,10,sept
50205.0+23461.213876j,10,sept
50550.0+21722.177973j,10,sept
50985.0+18599.583817j,10,sept
51270.0+18512.03127j,10,sept
51255.0+18841.983788j,10,sept
51270.0+19274.517099j,10,sept
51270.0+18623.237653j,10,sept
51240.0+22879.369102j,10,sept
51210.0+17713.521427j,10,sept
51225.0+20461.645767j,10,sept
51270.0+21409.921813j,10,sept
51300.0+24452.021869j,10,sept
51270.0+22916.127794j,10,sept
51315.0+21512.846911j,10,sept
51225.0+19623.769295j,10,sept
51225.0+21852.529098j,10,sept
51240.0+21759.611617j,10,sept
51240.0+22473.965957j,10,sept
51240.0+23830.4955j,10,sept
51240.0+21050.517452j,10,sept
51240.0+24716.330088j,10,sept
51270.0+23234.803956j,10,sept
51180.0+16925.63513j,10,sept
51120.0+23317.783521j,10,sept
51135.0+22214.970106j,10,sept
51135.0+21687.704355j,10,sept
51075.0+23081.915778j,10,sept
51165.0+21327.88723j,10,sept
51195.0+20059.676359j,10,sept
51165.0+22079.046496j,10,sept
51240.0+23808.659987j,10,sept
50205.0+18497.515785j,10,sept
49860.0+20344.239271j,10,sept
49860.0+18104.133209j,10,sept
49905.0+20513.793461j,10,sept
49785.0+23187.971257j,10,sept
49770.0+17567.16855j,10,sept
49755.0+22701.974925j,10,sept
49800.0+20966.644437j,10,sept
49740.0+20515.614975j,10,sept
49680.0+20264.677808j,10,sept
49680.0+19165.628527j,10,sept
49695.0+23057.76157j,10,sept
49710.0+21169.613175j,10,sept
49740.0+23155.284515j,10,sept
49665.0+20392.682265j,10,sept
49725.0+22465.188767j,10,sept
49905.0+19533.983869j,10,sept
50340.0+20470.628583j,10,sept
50715.0+16896.733667j,10,sept
51075.0+16823.31505j,10,sept
51240.0+20646.325528j,10,sept
51345.0+21957.69556j,10,sept
51360.0+19585.719059j,10,sept
51345.0+20353.604102j,10,sept
51255.0+17566.487163j,10,sept
51270.0+21491.259132j,10,sept
51270.0+22694.413444j,10,sept
51195.0+18910.116835j,10,sept
51180.0+20521.459542j,10,sept
51135.0+24425.151448j,10,sept
51240.0+16884.800292j,10,sept
54555.0+19376.58209j,10,sept
56505.0+26111.573613j,10,sept
60435.0+21826.316225j,10,sept
64830.0+31164.59136j,10,sept
65685.0+25175.342036j,10,sept
66060.0+26420.475581j,10,sept
66105.0+28077.737243j,10,sept
66135.0+22541.197472j,10,sept
66210.0+21924.281824j,10,sept
66015.0+23734.111089j,10,sept
65865.0+28354.042626j,10,sept
64560.0+27436.226149j,10,sept
51090.0+22819.557617j,10,sept
51090.0+20683.705197j,10,sept
51090.0+18201.989063j,10,sept
50010.0+16439.758054j,10,sept
49695.0+24068.042828j,10,sept
49680.0+22483.073909j,10,sept
43470.0+19926.244279j,10,sept
15300.0+6300.746582j,10,sept
12765.0+6126.730891j,10,sept
5265.0+2470.810492j,10,sept
5250.0+2046.810042j,10,sept
5250.0+2491.817344j,10,sept
5250.0+2511.77486j,10,sept
5250.0+2223.864413j,10,sept
5265.0+2062.135708j,10,sept
5250.0+2029.774515j,10,sept
5250.0+2051.892411j,10,sept
5280.0+2260.756192j,10,sept
5280.0+2194.255222j,10,sept
5430.0+2540.107908j,10,sept
5910.0+2340.583071j,10,sept
6255.0+2852.931272j,10,sept
6645.0+2460.483769j,10,sept
6765.0+3162.538601j,10,sept
6765.0+3143.509472j,10,sept
6750.0+2781.283288j,10,sept
6765.0+2626.95247j,10,sept
6720.0+2237.698334j,10,sept
8775.0+2992.912271j,10,sept
51675.0+20620.390584j,10,sept
51000.0+21029.801144j,10,sept
51045.0+19291.159041j,10,sept
51045.0+20429.435548j,10,sept
51000.0+17067.99751j,10,sept
50985.0+24536.384116j,10,sept
51015.0+18230.812817j,10,sept
50865.0+23728.323868j,10,sept
50805.0+20892.30547j,10,sept
50790.0+24305.502903j,10,sept
50805.0+17432.925111j,10,sept
50745.0+21939.080628j,10,sept
50670.0+19785.257929j,10,sept
50640.0+16849.739879j,10,sept
50715.0+19839.618858j,10,sept
50760.0+16806.388189j,10,sept
50820.0+24280.317689j,10,sept
50925.0+17226.816582j,10,sept
50955.0+19670.122645j,10,sept
50250.0+20469.79232j,10,sept
49545.0+22991.528613j,10,sept
49515.0+19033.237382j,10,sept
49455.0+21113.584481j,10,sept
49425.0+18198.085086j,10,sept
49470.0+21077.218042j,10,sept
49485.0+16389.94619j,10,sept
49500.0+20201.580082j,10,sept
49515.0+17728.082179j,10,sept
49560.0+16464.883121j,10,sept
49440.0+16808.358772j,10,sept
49125.0+19267.098151j,10,sept
27240.0+13043.356501j,10,sept
14625.0+4823.493996j,10,sept
8100.0+2681.578255j,10,sept
4875.0+1791.133691j,10,sept
4980.0+1914.102448j,10,sept
5340.0+2030.52043j,10,sept
5715.0+2599.551033j,10,sept
6120.0+2760.426014j,10,sept
6330.0+2326.771244j,10,sept
6360.0+2476.828378j,10,sept
6360.0+2326.398598j,10,sept
6360.0+2906.198414j,10,sept
6330.0+3062.213248j,10,sept
6315.0+2126.242969j,10,sept
6315.0+2098.638294j,10,sept
6330.0+2964.903814j,10,sept
6405.0+2137.922575j,10,sept
6360.0+2419.070864j,10,sept
6330.0+2384.034825j,10,sept
6330.0+2363.645948j,10,sept
6315.0+2536.029612j,10,sept
6285.0+2251.640123j,10,sept
6270.0+2581.727972j,10,sept
6270.0+2360.05615j,10,sept
6270.0+3019.419038j,10,sept
6255.0+2864.82007j,10,sept
6270.0+2655.404874j,10,sept
6270.0+2800.106407j,10,sept
6285.0+2439.19042j,10,sept
6270.0+2238.748907j,10,sept
6255.0+2864.279421j,10,sept
6255.0+2899.795774j,10,sept
5655.0+2338.9107j,10,sept
4905.0+2121.495468j,10,sept
4875.0+2015.109733j,10,sept
4875.0+2245.372871j,10,sept
4875.0+1737.431336j,10,sept
4890.0+1826.22731j,10,sept
4905.0+2004.379369j,10,sept
4905.0+1828.889148j,10,sept
4905.0+1867.791701j,10,sept
4905.0+1812.406969j,10,sept
4890.0+2016.369863j,10,sept
4875.0+1841.055424j,10,sept
4875.0+1738.098768j,10,sept
4875.0+1654.009188j,10,sept
4875.0+1781.584763j,10,sept
4875.0+1648.45435j,10,sept
4950.0+2281.754612j,10,sept
5220.0+2002.621356j,10,sept
5655.0+2028.910298j,10,sept
6060.0+2799.609549j,10,sept
6330.0+2445.304104j,10,sept
6375.0+2283.25168j,10,sept
6360.0+2892.784935j,10,sept
6360.0+2342.126968j,10,sept
6330.0+2239.858814j,10,sept
6330.0+2122.549431j,10,sept
6330.0+2363.720612j,10,sept
6315.0+2819.963991j,10,sept
6405.0+2202.295662j,10,sept
6360.0+2682.318317j,10,sept
6330.0+2629.911632j,10,sept
6330.0+2221.467178j,10,sept
6300.0+2543.934746j,10,sept
29505.0+10589.189234j,10,sept
49935.0+19905.150635j,10,sept
49860.0+19104.34284j,10,sept
49845.0+22245.733725j,10,sept
49875.0+18501.870305j,10,sept
49905.0+23120.451479j,10,sept
49980.0+22603.988113j,10,sept
49965.0+23228.563276j,10,sept
49920.0+22827.375275j,10,sept
49875.0+23385.448715j,10,sept
49890.0+23535.500188j,10,sept
49125.0+18053.813166j,10,sept
48570.0+17735.590575j,10,sept
32085.0+13871.698839j,10,sept
15090.0+6994.517722j,10,sept
9330.0+3633.944412j,10,sept
4935.0+1823.666344j,10,sept
4920.0+2160.155472j,10,sept
4905.0+1675.876666j,10,sept
4905.0+1814.879118j,10,sept
4890.0+2180.401183j,10,sept
4890.0+1688.487288j,10,sept
4890.0+2181.602778j,10,sept
4890.0+2135.512838j,10,sept
4875.0+1649.9423j,10,sept
4875.0+1812.428761j,10,sept
4890.0+1742.907202j,10,sept
5010.0+1941.683915j,10,sept
5400.0+1855.919153j,10,sept
5760.0+2730.393607j,10,sept
6195.0+2216.287363j,10,sept
6360.0+2221.234885j,10,sept
6390.0+3037.921565j,10,sept
6405.0+2405.905532j,10,sept
6375.0+2591.654762j,10,sept
6345.0+2557.630827j,10,sept
6345.0+2891.86799j,10,sept
6330.0+2381.973792j,10,sept
6390.0+2607.55297j,10,sept
6375.0+3012.778926j,10,sept
6360.0+2842.322979j,10,sept
6330.0+2508.41121j,10,sept
6285.0+2934.577298j,10,sept
6255.0+2726.338952j,10,sept
6330.0+2653.175597j,10,sept
6315.0+2599.572305j,10,sept
9120.0+4409.871971j,10,sept
11640.0+4753.357195j,10,sept
14355.0+5576.196229j,10,sept
19650.0+9225.720614j,10,sept
20610.0+9359.204758j,10,sept
20565.0+9502.901043j,10,sept
20490.0+6808.942704j,10,sept
20550.0+7005.081465j,10,sept
20520.0+9877.568605j,10,sept
6045.0+2601.475279j,10,sept
10080.0+4184.432887j,10,sept
48780.0+16941.021574j,10,sept
48585.0+18334.780835j,10,sept
48495.0+22384.349527j,10,sept
48480.0+20568.79535j,10,sept
48420.0+18563.869933j,10,sept
48300.0+19841.621335j,10,sept
48330.0+20320.067317j,10,sept
48285.0+20262.318769j,10,sept
48240.0+22553.558688j,10,sept
48270.0+17794.52225j,10,sept
48420.0+19802.9683j,10,sept
48480.0+18614.679993j,10,sept
48510.0+17733.053536j,10,sept
48555.0+21949.89776j,10,sept
48645.0+17140.14149j,10,sept
49095.0+20376.877324j,10,sept
49455.0+22421.386291j,10,sept
49845.0+20575.682969j,10,sept
50025.0+18650.048771j,10,sept
50175.0+21869.345298j,10,sept
17835.0+7584.842829j,10,sept
15570.0+6129.073889j,10,sept
7110.0+2340.135678j,10,sept
6480.0+2710.584097j,10,sept
6495.0+2269.404715j,10,sept
6555.0+2177.29629j,10,sept
6510.0+2270.590003j,10,sept
10995.0+3734.008121j,10,sept
14880.0+5773.020675j,10,sept
14895.0+6798.605103j,10,sept
14925.0+6708.55257j,10,sept
14925.0+6447.055806j,10,sept
14940.0+6356.055923j,10,sept
14940.0+6804.535491j,10,sept
14925.0+4934.096971j,10,sept
14925.0+7178.335665j,10,sept
14925.0+7010.699994j,10,sept
14925.0+5627.225954j,10,sept
14925.0+7034.232253j,10,sept
14895.0+4979.316523j,10,sept
14880.0+5886.511095j,10,sept
13680.0+5811.013804j,10,sept
13530.0+6411.726338j,10,sept
13470.0+4963.502571j,10,sept
13470.0+5399.085094j,10,sept
13455.0+5924.89868j,10,sept
13275.0+6024.117409j,10,sept
13260.0+5490.463428j,10,sept
13260.0+5140.413844j,10,sept
12990.0+5097.760156j,10,sept
12900.0+6196.693339j,10,sept
12945.0+6015.514949j,10,sept
12990.0+4559.480394j,10,sept
13350.0+4710.611666j,10,sept
10200.0+3586.342826j,10,sept
7155.0+2538.558311j,10,sept
7065.0+2871.532847j,10,sept
11880.0+5504.326017j,10,sept
17310.0+6696.592744j,10,sept
17670.0+6132.343757j,10,sept
57570.0+23229.976809j,10,sept
51540.0+18425.437855j,10,sept
54405.0+21954.7815j,10,sept
40290.0+19232.123207j,10,sept
27945.0+10765.880555j,10,sept
