grid,id,month
8100.0+3202.142367j,18,july
7995.0+2777.247434j,18,july
7935.0+3005.062117j,18,july
8055.0+2782.546522j,18,july
8070.0+2744.180813j,18,july
8100.0+3751.031217j,18,july
13485.0+6104.633595j,18,july
36810.0+14210.308981j,18,july
36270.0+13008.38295j,18,july
36285.0+15851.073962j,18,july
36405.0+12767.628404j,18,july
36720.0+17268.471754j,18,july
37185.0+15253.335138j,18,july
37800.0+12871.47531j,18,july
40305.0+16776.165426j,18,july
39735.0+13790.925418j,18,july
38730.0+17976.266697j,18,july
37110.0+16621.085871j,18,july
37185.0+12461.079121j,18,july
28590.0+11887.742194j,18,july
7965.0+3717.20873j,18,july
8115.0+3748.38816j,18,july
8040.0+3881.59938j,18,july
7620.0+3072.397998j,18,july
7185.0+2803.130849j,18,july
14115.0+6202.5905j,18,july
26490.0+10664.374466j,18,july
26550.0+9129.244421j,18,july
26520.0+11553.289055j,18,july
26415.0+11131.953178j,18,july
26415.0+10160.84366j,18,july
26280.0+10171.85991j,18,july
26205.0+11966.436906j,18,july
26205.0+12506.21499j,18,july
26430.0+11033.412581j,18,july
26325.0+9750.902246j,18,july
25905.0+11945.943605j,18,july
27030.0+12393.531003j,18,july
58635.0+25296.47604j,18,july
59655.0+22109.80904j,18,july
59715.0+25084.63763j,18,july
59670.0+20792.171726j,18,july
59670.0+27898.149029j,18,july
59355.0+28626.829819j,18,july
59610.0+24902.099282j,18,july
59460.0+26368.520429j,18,july
60900.0+22377.688513j,18,july
56655.0+19181.446017j,18,july
42450.0+19951.067479j,18,july
41955.0+19143.597956j,18,july
42000.0+19179.993386j,18,july
42030.0+18313.60168j,18,july
39690.0+17867.743896j,18,july
6150.0+2430.930499j,18,july
5790.0+2731.103775j,18,july
5565.0+2308.196563j,18,july
5550.0+1943.238586j,18,july
5640.0+2302.749655j,18,july
5565.0+2589.971889j,18,july
7965.0+3676.386356j,18,july
8550.0+3395.479786j,18,july
8085.0+3689.183358j,18,july
5565.0+2235.354215j,18,july
5580.0+2176.555449j,18,july
5610.0+2283.007988j,18,july
5535.0+2480.139129j,18,july
5535.0+2420.347148j,18,july
5640.0+2538.186305j,18,july
5550.0+2185.279613j,18,july
5535.0+2184.967162j,18,july
5610.0+2017.466242j,18,july
5580.0+2418.95397j,18,july
5535.0+2459.379042j,18,july
5565.0+2269.138309j,18,july
5625.0+2169.902742j,18,july
5835.0+2141.140551j,18,july
6300.0+2169.777764j,18,july
6750.0+2242.801095j,18,july
6675.0+2730.657948j,18,july
6675.0+3082.066523j,18,july
6750.0+2511.188343j,18,july
6720.0+2684.505296j,18,july
6690.0+2665.593481j,18,july
6735.0+2742.639881j,18,july
6750.0+2857.03767j,18,july
6690.0+3125.263441j,18,july
6690.0+2272.866514j,18,july
6795.0+2793.90323j,18,july
6690.0+3012.44938j,18,july
6690.0+2719.87727j,18,july
6825.0+2840.054034j,18,july
6720.0+3041.748205j,18,july
6675.0+2900.833293j,18,july
6735.0+2663.544045j,18,july
6735.0+2928.343039j,18,july
6675.0+2268.812726j,18,july
6690.0+3072.177583j,18,july
6765.0+2878.138566j,18,july
6690.0+2964.804472j,18,july
15930.0+7131.077327j,18,july
35250.0+16662.598415j,18,july
35520.0+13866.807941j,18,july
35580.0+11696.136156j,18,july
35670.0+15304.106738j,18,july
36795.0+16279.254548j,18,july
38670.0+15167.684483j,18,july
38205.0+16050.358289j,18,july
37260.0+14652.077184j,18,july
35565.0+12566.941625j,18,july
35595.0+12913.355974j,18,july
