grid,id,month
43545.0+20837.233231j,12,july
47400.0+22443.09015j,12,july
47655.0+18781.175753j,12,july
43005.0+18109.759134j,12,july
23655.0+8265.703656j,12,july
11370.0+5159.426777j,12,july
7695.0+2939.151519j,12,july
8625.0+2857.431982j,12,july
7785.0+2979.867129j,12,july
7980.0+3029.68163j,12,july
9465.0+3245.634038j,12,july
8595.0+3451.74521j,12,july
8670.0+4030.95385j,12,july
9600.0+3643.39498j,12,july
8700.0+3664.773349j,12,july
8640.0+3197.761755j,12,july
9465.0+3992.845349j,12,july
8640.0+3688.889457j,12,july
8505.0+4016.150771j,12,july
9420.0+4178.10926j,12,july
8715.0+3924.525662j,12,july
8640.0+4107.556858j,12,july
14985.0+6913.147898j,12,july
42495.0+16888.930763j,12,july
43290.0+17170.925241j,12,july
44265.0+16024.863661j,12,july
43290.0+15808.92489j,12,july
43155.0+16858.181371j,12,july
44130.0+18218.211625j,12,july
43410.0+20205.205366j,12,july
43620.0+20891.400678j,12,july
39000.0+18655.395434j,12,july
22425.0+7574.028275j,12,july
24735.0+8911.066818j,12,july
24090.0+10640.423884j,12,july
24405.0+9151.471223j,12,july
24660.0+11590.279649j,12,july
15585.0+5139.538027j,12,july
8625.0+4004.546363j,12,july
8910.0+3866.149816j,12,july
9375.0+4340.212548j,12,july
8580.0+3990.199385j,12,july
8760.0+4118.011904j,12,july
9315.0+3646.69686j,12,july
8595.0+3606.604595j,12,july
8865.0+3848.502582j,12,july
9345.0+3224.135927j,12,july
8700.0+3758.515807j,12,july
8865.0+3504.575559j,12,july
14805.0+5073.448949j,12,july
42330.0+16620.853859j,12,july
43425.0+15770.611354j,12,july
44010.0+15382.344731j,12,july
43095.0+17601.21091j,12,july
43200.0+17132.484601j,12,july
43785.0+16525.176793j,12,july
43290.0+16719.59806j,12,july
43260.0+20331.26492j,12,july
38655.0+17283.410193j,12,july
13290.0+5916.463661j,12,july
10065.0+3996.531597j,12,july
9210.0+4054.620765j,12,july
8505.0+3632.136056j,12,july
8640.0+3147.726587j,12,july
9180.0+4211.553292j,12,july
8430.0+3314.203455j,12,july
8640.0+2853.509278j,12,july
9285.0+4489.905896j,12,july
8415.0+3275.655878j,12,july
8100.0+3450.350525j,12,july
8385.0+2961.392465j,12,july
7560.0+3211.096194j,12,july
7725.0+3145.17065j,12,july
8295.0+2783.955536j,12,july
7560.0+3245.502202j,12,july
7710.0+3460.456267j,12,july
8520.0+2907.822321j,12,july
8940.0+3921.513857j,12,july
14760.0+6685.887199j,12,july
43530.0+16946.31411j,12,july
43605.0+20907.633685j,12,july
43605.0+15287.624336j,12,july
44580.0+14815.887479j,12,july
43530.0+18134.789029j,12,july
43125.0+20809.081277j,12,july
43965.0+20977.411226j,12,july
43230.0+15329.122933j,12,july
23220.0+9359.906421j,12,july
12990.0+4837.856638j,12,july
8595.0+3632.211985j,12,july
8745.0+3837.285761j,12,july
9390.0+4157.339915j,12,july
8790.0+3390.07924j,12,july
8940.0+4159.226963j,12,july
9405.0+3904.224984j,12,july
8625.0+3067.727569j,12,july
8790.0+3710.09105j,12,july
9435.0+3781.335207j,12,july
8820.0+2947.786177j,12,july
8910.0+3644.079534j,12,july
9435.0+3150.788606j,12,july
8610.0+3655.770669j,12,july
8700.0+4181.456143j,12,july
31680.0+15130.430285j,12,july
42705.0+16399.01232j,12,july
42885.0+17813.601343j,12,july
43500.0+15007.863104j,12,july
42570.0+16280.613148j,12,july
42510.0+14235.558172j,12,july
43215.0+17203.958355j,12,july
37680.0+16645.907406j,12,july
13200.0+6255.893711j,12,july
10650.0+4823.301713j,12,july
8445.0+3359.477793j,12,july
8610.0+2932.069474j,12,july
10860.0+5136.491213j,12,july
22800.0+8559.040625j,12,july
23535.0+10538.843379j,12,july
24015.0+10852.518601j,12,july
24330.0+8185.840799j,12,july
10800.0+4928.895543j,12,july
8700.0+3947.384696j,12,july
9270.0+3557.964819j,12,july
8715.0+3142.060242j,12,july
8490.0+3445.623118j,12,july
9225.0+3210.489301j,12,july
8985.0+4107.691158j,12,july
8565.0+4086.686058j,12,july
9195.0+4283.917227j,12,july
30900.0+14921.616j,12,july
42150.0+17438.717609j,12,july
43170.0+17763.079155j,12,july
42660.0+19776.522246j,12,july
42405.0+14283.840208j,12,july
43170.0+20245.472782j,12,july
42480.0+17103.1287j,12,july
36765.0+16627.131277j,12,july
13020.0+5953.773629j,12,july
9135.0+3033.204344j,12,july
7530.0+3212.472385j,12,july
8280.0+3872.150005j,12,july
7800.0+2825.763173j,12,july
7785.0+2801.884574j,12,july
8700.0+4086.76053j,12,july
8610.0+3487.826151j,12,july
8400.0+2945.923307j,12,july
9120.0+3034.58415j,12,july
8820.0+3372.832666j,12,july
8625.0+4085.154817j,12,july
9180.0+3398.499035j,12,july
8655.0+4110.793414j,12,july
8415.0+3412.463302j,12,july
9120.0+3548.517687j,12,july
8835.0+3817.468809j,12,july
8550.0+3863.153794j,12,july
31155.0+12648.614094j,12,july
42315.0+15711.487249j,12,july
42120.0+18028.933742j,12,july
42900.0+18273.197184j,12,july
42780.0+18334.30554j,12,july
42420.0+15768.021698j,12,july
43035.0+18636.199328j,12,july
22800.0+8273.635616j,12,july
11955.0+5059.68757j,12,july
9090.0+4358.317447j,12,july
8850.0+3687.473385j,12,july
8505.0+3628.747218j,12,july
9090.0+4293.193303j,12,july
8670.0+3944.60647j,12,july
8385.0+3167.197981j,12,july
9060.0+3363.865614j,12,july
8640.0+4097.189775j,12,july
8385.0+3666.064041j,12,july
9090.0+4141.078726j,12,july
8670.0+4175.132638j,12,july
9090.0+4050.47437j,12,july
13035.0+5875.50808j,12,july
12345.0+4928.178323j,12,july
12120.0+5141.861198j,12,july
12855.0+4791.728577j,12,july
12480.0+5901.225603j,12,july
17685.0+6808.671841j,12,july
45855.0+18317.925706j,12,july
45945.0+18400.974174j,12,july
45870.0+20650.032827j,12,july
46815.0+19551.311464j,12,july
47070.0+17221.044662j,12,july
46650.0+20339.200623j,12,july
41940.0+19118.517316j,12,july
16995.0+6690.424405j,12,july
13575.0+5617.436133j,12,july
10935.0+4788.866363j,12,july
7110.0+2756.212614j,12,july
6630.0+2681.39963j,12,july
7305.0+3425.767704j,12,july
6930.0+3355.862374j,12,july
6660.0+2637.091061j,12,july
7530.0+2815.296279j,12,july
7110.0+2342.149127j,12,july
6645.0+2540.507968j,12,july
7305.0+2935.111023j,12,july
6930.0+2905.843995j,12,july
6615.0+2337.764442j,12,july
6660.0+2681.264603j,12,july
6375.0+2332.903116j,12,july
6090.0+2691.213656j,12,july
6525.0+2679.476105j,12,july
14175.0+5606.630463j,12,july
20310.0+6944.798584j,12,july
20895.0+6929.54179j,12,july
