grid,id
29640.0+12392.360277j,9
29625.0+10800.023188j,9
28620.0+11359.718175j,9
27900.0+11644.062109j,9
27885.0+9656.640378j,9
28740.0+12148.837093j,9
29625.0+14151.401288j,9
29925.0+10021.810201j,9
30345.0+14186.476859j,9
41505.0+17935.532291j,9
70140.0+28662.875428j,9
73245.0+33332.029201j,9
125190.0+56565.828315j,9
151020.0+63023.555376j,9
89910.0+42764.454059j,9
60975.0+20949.920799j,9
75855.0+33020.306663j,9
67665.0+27302.581158j,9
29100.0+12447.140898j,9
27780.0+12955.765719j,9
27750.0+11768.590884j,9
27855.0+12976.100825j,9
28275.0+11593.975408j,9
27480.0+11277.254308j,9
27285.0+11994.416734j,9
27180.0+12085.629169j,9
27195.0+10112.821307j,9
27120.0+10210.487947j,9
29175.0+11333.693095j,9
40290.0+18269.584521j,9
69270.0+28868.874788j,9
69465.0+28278.033488j,9
69330.0+33377.030937j,9
69420.0+23542.189978j,9
69435.0+29917.952181j,9
38745.0+13606.448921j,9
36375.0+13092.591022j,9
30225.0+10387.202064j,9
29235.0+11164.571721j,9
28485.0+12219.539897j,9
27045.0+9132.873399j,9
27045.0+8954.402151j,9
27045.0+12830.914102j,9
27045.0+9755.37177j,9
27060.0+11249.644956j,9
27060.0+11284.122598j,9
27120.0+10641.783611j,9
27120.0+13131.909129j,9
27105.0+11571.704312j,9
34755.0+13029.269055j,9
68460.0+29922.043255j,9
69465.0+26384.272389j,9
69300.0+27180.584752j,9
69300.0+28227.065032j,9
69315.0+32239.82187j,9
41445.0+19365.32713j,9
36465.0+15261.678162j,9
30795.0+13758.610155j,9
29250.0+14129.46662j,9
29235.0+10000.250801j,9
29235.0+10712.966117j,9
29070.0+9837.578518j,9
27045.0+10638.975853j,9
27030.0+11052.531306j,9
27045.0+11661.674844j,9
27030.0+8998.313165j,9
27030.0+12684.957571j,9
27030.0+11753.907814j,9
27030.0+11218.21056j,9
31290.0+11318.568777j,9
66690.0+25792.290053j,9
67125.0+30351.549635j,9
68010.0+28330.375117j,9
69420.0+31853.487378j,9
69285.0+27473.151476j,9
43995.0+15709.812431j,9
36465.0+14726.740533j,9
31305.0+10435.196931j,9
29235.0+10588.218297j,9
29220.0+11179.85008j,9
29205.0+12828.666016j,9
29175.0+12090.46743j,9
29145.0+11848.909659j,9
29115.0+13110.650928j,9
