grid,id
3780.0+1769.717914j,3
4125.0+1703.70046j,3
3840.0+1564.436468j,3
3765.0+1356.071063j,3
3765.0+1635.783115j,3
3765.0+1461.8682j,3
3750.0+1413.589793j,3
3945.0+1851.098011j,3
3780.0+1631.126943j,3
4110.0+1687.884827j,3
5010.0+1834.461939j,3
6450.0+2785.42257j,3
6105.0+2756.115839j,3
6075.0+2651.111665j,3
6060.0+2545.541619j,3
6030.0+2683.043725j,3
6135.0+2212.367086j,3
6240.0+2245.438362j,3
5940.0+2797.163922j,3
6060.0+2329.752362j,3
6120.0+2471.436418j,3
5880.0+2022.813363j,3
5865.0+2811.976899j,3
5865.0+2111.758675j,3
5910.0+2857.602842j,3
5955.0+2583.975995j,3
5820.0+2269.089022j,3
5850.0+2063.152284j,3
6105.0+2167.464862j,3
6135.0+2894.866884j,3
6000.0+2600.887323j,3
5940.0+2829.977312j,3
5970.0+2746.623464j,3
5865.0+2486.336166j,3
5550.0+2051.406693j,3
4920.0+1969.764917j,3
48120.0+21137.731247j,3
61185.0+20245.887757j,3
61335.0+25795.189018j,3
61230.0+21314.280396j,3
60870.0+28583.153337j,3
60705.0+22323.35673j,3
60645.0+27745.366331j,3
60735.0+21498.446959j,3
60735.0+24651.580442j,3
60645.0+27308.792413j,3
60795.0+20331.211394j,3
60645.0+21089.284947j,3
60555.0+25754.508959j,3
60840.0+27380.914264j,3
60705.0+25746.967914j,3
28110.0+10000.677517j,3
17835.0+8169.23715j,3
7440.0+3335.718454j,3
3780.0+1637.332368j,3
4155.0+1774.538769j,3
3855.0+1538.049904j,3
3855.0+1701.927588j,3
3855.0+1543.603896j,3
3840.0+1388.476985j,3
5715.0+2637.904368j,3
6555.0+2303.018924j,3
6105.0+2115.402816j,3
6075.0+2648.303173j,3
6060.0+2008.371394j,3
5955.0+2264.327726j,3
5880.0+2528.167538j,3
6315.0+2971.044961j,3
6465.0+2418.192071j,3
6180.0+2884.181445j,3
6270.0+2088.794186j,3
6285.0+2510.992041j,3
6285.0+2807.214569j,3
5925.0+1996.347326j,3
5940.0+2336.654662j,3
5820.0+2744.219065j,3
5775.0+2229.313773j,3
5760.0+2640.292919j,3
5760.0+2633.785891j,3
6045.0+2790.536951j,3
5895.0+2205.827869j,3
5535.0+2605.442756j,3
5520.0+2412.136608j,3
5520.0+2435.887366j,3
5520.0+1850.454203j,3
4815.0+2045.073306j,3
4170.0+1826.5067j,3
3900.0+1781.507294j,3
4125.0+1433.15692j,3
4290.0+1453.213788j,3
3930.0+1839.828633j,3
3765.0+1791.891813j,3
3765.0+1348.169285j,3
3765.0+1749.978357j,3
3750.0+1253.292319j,3
3750.0+1512.484622j,3
3765.0+1498.521251j,3
3735.0+1389.832056j,3
3840.0+1716.543849j,3
4155.0+1826.403112j,3
3915.0+1458.809031j,3
3735.0+1509.573642j,3
3735.0+1674.755777j,3
3750.0+1662.720883j,3
46605.0+20859.88465j,3
60330.0+22025.03755j,3
60570.0+22572.299986j,3
60540.0+26956.963347j,3
60825.0+22473.666711j,3
60615.0+21691.687919j,3
60375.0+23474.282844j,3
61740.0+23505.401311j,3
62655.0+23855.69276j,3
62595.0+23992.819868j,3
62565.0+22917.447782j,3
62580.0+27810.805955j,3
62520.0+22968.010041j,3
62445.0+27501.955445j,3
62430.0+22399.511351j,3
62430.0+24021.913159j,3
29940.0+11552.712212j,3
19695.0+7458.901015j,3
9510.0+3961.347557j,3
5820.0+1981.793611j,3
5820.0+2115.544883j,3
5880.0+2363.01427j,3
6225.0+2050.39095j,3
5745.0+2494.120102j,3
5970.0+2090.954152j,3
6075.0+2291.040438j,3
6105.0+2676.17952j,3
5940.0+2696.086833j,3
5940.0+2768.493292j,3
5505.0+2370.055318j,3
5505.0+2037.862747j,3
5505.0+2649.910116j,3
5505.0+1910.651426j,3
4395.0+1530.041497j,3
4290.0+1996.332393j,3
4035.0+1393.662188j,3
4320.0+1682.932048j,3
4260.0+1905.364848j,3
4215.0+1485.429337j,3
4065.0+1468.560145j,3
3930.0+1712.564728j,3
4020.0+1887.211725j,3
3750.0+1484.732542j,3
3750.0+1277.261566j,3
3750.0+1738.033009j,3
3720.0+1786.923685j,3
3720.0+1755.077313j,3
3855.0+1574.933957j,3
3810.0+1631.81558j,3
3720.0+1439.193923j,3
4080.0+1560.385755j,3
3855.0+1288.367567j,3
3735.0+1409.890477j,3
4185.0+1654.590439j,3
4305.0+2063.972787j,3
3990.0+1822.072602j,3
3870.0+1435.431994j,3
4125.0+1672.361016j,3
3960.0+1757.676616j,3
4185.0+1570.930642j,3
6210.0+2209.703975j,3
6165.0+2618.716911j,3
6120.0+2926.703893j,3
6045.0+2012.736219j,3
6420.0+2978.651195j,3
6015.0+2835.868752j,3
7620.0+2954.684705j,3
8625.0+3660.610686j,3
8895.0+3543.670132j,3
6915.0+2752.661851j,3
6330.0+2382.437665j,3
5850.0+2803.965298j,3
5820.0+2142.917757j,3
5910.0+2669.632341j,3
6165.0+2595.973163j,3
5835.0+1963.714734j,3
5820.0+1989.433258j,3
5835.0+2493.121538j,3
6360.0+2785.650134j,3
6000.0+2821.081562j,3
5820.0+2627.810725j,3
5820.0+2721.050965j,3
6165.0+2809.12869j,3
55845.0+21964.414082j,3
62970.0+22524.806885j,3
62925.0+23391.740542j,3
62910.0+24322.701543j,3
61530.0+24848.208225j,3
60885.0+23555.532749j,3
60750.0+24414.988209j,3
60750.0+25868.214228j,3
60465.0+21192.889719j,3
60405.0+27999.271923j,3
60390.0+22664.227843j,3
60435.0+23499.351458j,3
60435.0+22487.849517j,3
60735.0+25790.368334j,3
60630.0+26220.315679j,3
60510.0+29126.207484j,3
63300.0+26814.091414j,3
62805.0+24877.144922j,3
62865.0+28981.655742j,3
63000.0+29808.148983j,3
25830.0+8963.655707j,3
20040.0+9607.530993j,3
8430.0+3122.94963j,3
6030.0+2580.022214j,3
6015.0+2288.114745j,3
6120.0+2835.538296j,3
6480.0+2213.344729j,3
6255.0+2505.805451j,3
6240.0+2793.803552j,3
5955.0+2582.890031j,3
6060.0+2349.071167j,3
6045.0+2371.509233j,3
6270.0+2982.440111j,3
6225.0+2485.295211j,3
6030.0+2752.871245j,3
5910.0+2730.869535j,3
5925.0+2278.66995j,3
5910.0+2846.174132j,3
5670.0+2560.657642j,3
5655.0+2569.337054j,3
5640.0+2536.024911j,3
5790.0+2772.115769j,3
5910.0+2339.406327j,3
5610.0+2335.995379j,3
5730.0+2669.666682j,3
5730.0+2028.371193j,3
5730.0+2539.598475j,3
6030.0+2313.184412j,3
5850.0+2500.254959j,3
6015.0+2553.583053j,3
5640.0+2659.060025j,3
5565.0+2320.94242j,3
5550.0+2213.448065j,3
5550.0+2589.914328j,3
5535.0+2306.804265j,3
5535.0+2594.966791j,3
5970.0+2221.986059j,3
5775.0+2488.830627j,3
5970.0+2699.407309j,3
6030.0+2660.727515j,3
6090.0+2167.397584j,3
4215.0+1849.985792j,3
3915.0+1610.340445j,3
3915.0+1323.118868j,3
3915.0+1391.76161j,3
4140.0+1907.720148j,3
3990.0+1528.837637j,3
3900.0+1289.167421j,3
3900.0+1615.356442j,3
3780.0+1677.019569j,3
4050.0+1369.571728j,3
3915.0+1493.3145j,3
3750.0+1511.00171j,3
3750.0+1644.034404j,3
3735.0+1736.445202j,3
3735.0+1625.256401j,3
3735.0+1400.213985j,3
3735.0+1298.56046j,3
3735.0+1686.216793j,3
3735.0+1500.228267j,3
3750.0+1412.102646j,3
3885.0+1500.36828j,3
4065.0+1862.114128j,3
4170.0+1922.6029j,3
3885.0+1794.670196j,3
3885.0+1448.318602j,3
5100.0+1786.936134j,3
55380.0+19926.550851j,3
62790.0+27605.649077j,3
62820.0+26402.704506j,3
62745.0+25374.53865j,3
62280.0+22278.060971j,3
62190.0+29537.602053j,3
62205.0+25303.031685j,3
62265.0+22721.364515j,3
62190.0+27579.994086j,3
62415.0+22644.624616j,3
