grid,id
12990.0+5740.039692j,7
7140.0+2955.269601j,7
3000.0+1373.545917j,7
2985.0+1393.145179j,7
2985.0+1271.506346j,7
2985.0+1189.410557j,7
2985.0+1125.598392j,7
2985.0+1284.675272j,7
2985.0+1299.92349j,7
2985.0+1303.567544j,7
2985.0+1238.051898j,7
2970.0+1303.566189j,7
2970.0+1180.329244j,7
22365.0+9054.645753j,7
36510.0+16760.718419j,7
36840.0+13452.730317j,7
36915.0+16037.804413j,7
36915.0+17628.368775j,7
37065.0+12843.466974j,7
31215.0+11278.299569j,7
9885.0+4146.572082j,7
4800.0+2317.185617j,7
3735.0+1439.561172j,7
5325.0+1750.79876j,7
5175.0+2377.903213j,7
5190.0+2469.170246j,7
5175.0+1851.386297j,7
5160.0+2497.843265j,7
5175.0+1876.887003j,7
5160.0+1929.604793j,7
5160.0+2033.242995j,7
5160.0+1884.827278j,7
5145.0+2126.129877j,7
5130.0+1922.74818j,7
35385.0+15564.259956j,7
38535.0+15158.788913j,7
38760.0+15957.354532j,7
38820.0+14511.76834j,7
38895.0+13452.041699j,7
38940.0+18717.292877j,7
24000.0+11005.134507j,7
11535.0+5062.984754j,7
4980.0+1907.168581j,7
4980.0+2213.38789j,7
4980.0+2303.031336j,7
4965.0+2320.036409j,7
4965.0+2347.177525j,7
4965.0+1988.150311j,7
4950.0+1683.119637j,7
4950.0+2140.232261j,7
4950.0+2234.791717j,7
4950.0+1991.046737j,7
4950.0+2006.331314j,7
4950.0+1762.94918j,7
16335.0+6127.585223j,7
36300.0+17563.231428j,7
36435.0+12052.460799j,7
36540.0+17100.452647j,7
36660.0+14799.620826j,7
36735.0+12162.137184j,7
36855.0+12441.552078j,7
13125.0+5800.622853j,7
7170.0+2456.139009j,7
2970.0+1064.447524j,7
2985.0+1160.770452j,7
2985.0+1202.877586j,7
3015.0+1429.05244j,7
3015.0+991.36587j,7
3015.0+1293.1418j,7
3015.0+1296.658983j,7
3015.0+1342.615855j,7
3015.0+1427.749988j,7
3015.0+1204.98544j,7
3015.0+1319.071921j,7
3015.0+1374.308225j,7
3000.0+1067.112832j,7
2985.0+1048.137681j,7
32955.0+13412.981602j,7
37950.0+13516.562682j,7
38730.0+16024.296147j,7
38820.0+16874.777723j,7
38880.0+18581.751179j,7
24045.0+8925.031054j,7
11700.0+4430.31014j,7
5175.0+1720.545533j,7
5175.0+2122.702848j,7
5190.0+2284.980091j,7
5175.0+2329.901271j,7
5175.0+2445.84012j,7
5160.0+1968.483735j,7
5160.0+2491.557956j,7
5160.0+2452.072863j,7
5145.0+2459.887936j,7
5130.0+2007.463909j,7
5250.0+2027.496493j,7
5250.0+2254.352541j,7
5070.0+1733.972053j,7
5055.0+2189.178206j,7
34875.0+16537.815977j,7
38145.0+12693.047973j,7
38385.0+16573.265853j,7
38400.0+14199.351947j,7
38565.0+14551.104582j,7
38685.0+18533.074339j,7
14985.0+6337.44033j,7
9240.0+4346.751941j,7
5055.0+2174.145342j,7
3495.0+1385.467314j,7
3090.0+1375.441041j,7
3075.0+1085.887281j,7
3060.0+1460.289514j,7
3060.0+1035.165839j,7
3060.0+1353.261152j,7
3060.0+1336.408339j,7
3060.0+1199.55603j,7
3060.0+1355.404253j,7
3060.0+1208.765159j,7
3060.0+1251.931066j,7
3060.0+1201.397627j,7
3060.0+1046.23418j,7
3045.0+1222.111389j,7
3045.0+1064.774871j,7
3045.0+1230.850708j,7
32670.0+11320.534336j,7
36060.0+14653.105036j,7
36360.0+14519.984631j,7
36420.0+15691.010476j,7
36540.0+12068.454587j,7
36675.0+16610.116196j,7
27300.0+10450.510544j,7
10440.0+5010.881282j,7
6360.0+2456.370765j,7
5250.0+2011.23518j,7
5220.0+2292.108292j,7
5205.0+2340.895626j,7
5190.0+1916.225331j,7
5190.0+2041.785143j,7
5190.0+2086.585175j,7
5175.0+1955.78875j,7
5175.0+2460.863401j,7
5205.0+1887.695421j,7
5205.0+2488.625685j,7
5205.0+2272.889527j,7
5205.0+1800.821213j,7
5190.0+1989.776739j,7
5190.0+1775.493526j,7
5145.0+2246.642116j,7
5115.0+1740.7601j,7
5100.0+1769.978598j,7
5100.0+2294.626034j,7
5070.0+2008.326979j,7
5055.0+1888.587726j,7
12900.0+5448.119512j,7
38145.0+13114.188005j,7
38310.0+13282.883993j,7
38445.0+15054.979991j,7
38550.0+15780.938163j,7
38580.0+15421.734591j,7
38655.0+17329.555288j,7
13050.0+4633.788571j,7
7230.0+2767.039805j,7
3015.0+1426.91084j,7
3105.0+1037.448303j,7
3090.0+1324.443049j,7
3075.0+1235.569102j,7
3060.0+1313.336358j,7
3060.0+1409.159099j,7
3045.0+1447.720261j,7
3045.0+1080.345466j,7
3045.0+1187.510805j,7
3060.0+1470.830949j,7
3060.0+1165.038446j,7
3060.0+1339.873697j,7
3060.0+1148.034304j,7
3060.0+1358.574982j,7
3075.0+1245.330751j,7
3075.0+1027.951249j,7
3075.0+1272.905913j,7
3075.0+1117.878765j,7
3060.0+1467.980395j,7
3060.0+1319.777915j,7
3105.0+1453.604789j,7
4170.0+1468.101018j,7
5430.0+2245.687697j,7
23895.0+11192.667189j,7
38235.0+12664.039816j,7
38520.0+13276.260404j,7
